nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3,Logical_Degree,Type
1,Junction,46.48706799585259,7.042879999999797,Unknown,UNK,0,Junction
2,Junction,46.62417349589909,7.035082499999788,Unknown,UNK,0,Junction
3,Junction,46.93721299600358,7.416059999999788,Unknown,UNK,0,Junction
4,Junction,46.57447899588235,7.085558999999794,Unknown,UNK,0,Junction
5,St. Gallen AB,47.4231709961609,9.369849999999788,Switzerland,CH,1,Station
6,Junction,47.15944349607622,9.043037499999798,Unknown,UNK,0,Junction
7,Junction,46.93874399600406,6.668481999999783,Unknown,UNK,0,Junction
8,Junction,46.62548099589952,7.03092049999978,Unknown,UNK,0,Junction
9,Locarno,46.17198449574401,8.80454599999979,Switzerland,CH,2,Station
10,Junction,46.18107399574719,8.843915999999787,Unknown,UNK,0,Junction
11,Junction,46.86922899598103,9.5325574999998,Unknown,UNK,0,Junction
12,Junction,46.17931549574652,8.831510499999782,Unknown,UNK,0,Junction
13,Junction,46.17467199574496,8.887745499999793,Unknown,UNK,0,Junction
14,Chur,46.85524749597646,9.530976999999776,Switzerland,CH,21,Station
15,Junction,46.86096249597832,9.531894499999797,Unknown,UNK,0,Junction
16,Junction,46.92180299599848,9.559970499999798,Unknown,UNK,0,Junction
17,Junction,46.175387495745184,8.883879499999772,Unknown,UNK,0,Junction
18,Junction,46.685871995919854,6.905627499999784,Unknown,UNK,0,Junction
19,Junction,47.13170299606722,9.069274999999777,Unknown,UNK,0,Junction
20,Junction,46.858963495977655,9.531973999999796,Unknown,UNK,0,Junction
21,Junction,46.17977449574676,8.845708999999806,Unknown,UNK,0,Junction
22,Gossau SG,47.41117899615712,9.252095499999802,Switzerland,CH,10,Station
23,Junction,47.04815949604001,8.298898499999783,Unknown,UNK,0,Junction
24,Köniz,46.925038995999564,7.4147894999997845,Switzerland,CH,1,Station
25,Junction,46.950504496007916,7.438898999999796,Unknown,UNK,0,Junction
26,Junction,47.09760749605613,9.069192999999785,Unknown,UNK,0,Junction
27,Nieder- und Oberurnen,47.122143496064105,9.062617499999792,Switzerland,CH,22,Station
28,Frauenfeld,47.55888849620387,8.897315999999785,Switzerland,CH,21,Station
29,Junction,46.65069849590803,6.932058499999784,Unknown,UNK,0,Junction
30,Junction,47.157849996075704,8.721824499999801,Unknown,UNK,0,Junction
31,Junction,47.14250099607069,8.70095699999979,Unknown,UNK,0,Junction
32,Junction,47.394936996151955,9.28757399999978,Unknown,UNK,0,Junction
