nodeID_from,nodeID_to
1,34
2,1664
3,1607
4,55
5,85
6,74
7,1730
8,90
9,1731
10,114
11,21
12,50
13,1229
14,1130
15,1732
16,84
17,49
18,771
19,10
20,96
21,834
22,1733
23,13
24,76
25,68
26,58
27,1431
28,3
29,97
30,1734
31,65
32,64
33,27
34,1338
35,88
36,106
37,80
38,1735
39,1043
40,1258
41,38
42,1736
43,18
44,53
45,26
46,60
3,46
47,1737
48,5
49,273
50,83
51,17
52,69
53,790
54,572
55,1738
56,39
57,344
58,15
59,1736
44,652
53,67
60,105
61,54
62,1739
63,6
64,47
65,1740
66,119
67,1741
68,1742
42,589
69,112
70,34
71,102
72,113
73,94
74,95
75,79
76,1743
77,25
78,13
79,867
80,98
81,25
82,38
83,20
84,52
85,21
86,48
87,40
88,70
89,1744
90,1745
91,18
92,14
93,45
83,929
94,36
55,9
95,100
14,111
96,1746
97,110
98,99
99,86
2,8
100,1746
101,35
102,104
103,101
104,16
44,1747
105,30
106,91
107,546
108,66
109,546
97,232
110,1748
111,62
112,31
113,22
114,27
79,93
39,1749
115,1750
116,855
117,1751
118,159
119,505
120,148
121,239
122,412
123,567
124,149
125,1510
126,413
127,1752
128,290
129,608
130,219
131,117
132,1753
133,308
134,573
135,338
136,769
137,307
138,1163
139,625
140,57
141,851
142,1754
143,1755
144,833
145,695
146,1756
147,1757
148,668
149,220
149,1395
150,732
151,299
152,414
153,611
154,843
155,317
156,1064
157,839
158,671
159,791
160,137
161,1386
162,998
163,593
164,141
165,1366
166,753
167,679
168,1321
169,364
170,273
171,306
172,852
173,1029
174,121
175,181
176,152
177,1758
178,373
179,1759
180,148
181,296
182,632
183,695
184,408
185,591
186,1323
187,611
188,116
189,809
190,241
153,187
191,524
192,240
120,194
193,1211
194,180
195,869
196,775
197,1760
198,199
199,168
200,301
201,1693
202,279
203,634
204,1364
205,259
206,209
207,1172
208,1761
209,1430
210,559
211,736
212,233
205,1389
213,1315
214,1375
215,1385
216,758
217,261
218,146
219,201
50,1761
220,1762
197,538
221,629
222,246
223,187
224,1751
225,237
226,1335
227,182
228,528
229,1281
230,177
231,1342
232,736
233,1763
234,835
148,1325
179,1764
235,1276
236,539
237,900
238,868
239,719
240,186
241,271
242,351
243,304
244,186
245,1730
246,197
247,738
248,565
249,588
250,31
251,1753
252,1186
253,154
254,221
255,297
256,722
257,1765
241,831
258,255
259,1094
260,1766
261,1766
260,261
204,835
262,1232
263,424
217,260
264,1767
265,858
266,252
267,743
268,248
269,153
270,421
271,831
272,1375
273,1610
274,280
275,323
276,282
277,1765
278,282
215,1417
279,124
280,274
192,240
65,1356
130,1768
281,310
282,215
283,968
284,569
238,868
285,288
242,1192
286,716
287,381
288,1165
289,701
290,407
291,1769
292,1770
293,270
294,316
295,171
296,1016
297,400
298,897
173,1029
299,1771
300,129
301,1132
232,868
302,1112
213,1409
303,654
304,609
305,712
306,138
175,296
307,908
308,127
309,1772
310,236
311,1420
312,510
313,385
314,1773
315,1774
316,422
317,178
318,208
319,166
320,1775
321,1776
322,544
323,1777
324,613
325,554
326,1170
327,1139
328,1138
329,318
330,726
331,332
332,1516
333,899
334,316
335,484
336,337
337,1138
338,1187
339,424
340,1013
341,1778
342,1661
343,341
344,1135
345,999
346,1260
347,348
348,536
349,1121
350,1153
134,641
351,1779
352,181
353,770
354,355
355,438
356,432
357,1780
358,1781
359,1782
360,361
361,452
362,753
360,1257
363,1387
364,448
365,1763
366,1293
367,1148
368,673
369,368
370,1641
371,155
372,452
373,944
374,1754
375,241
376,707
377,694
378,379
379,407
380,953
381,956
382,164
383,1661
384,1760
385,765
386,1018
387,1486
388,389
389,390
390,1102
391,633
318,876
392,1562
393,290
394,1007
395,656
396,875
397,150
274,764
398,667
399,779
400,1176
401,442
402,1753
403,404
404,135
405,821
406,816
407,805
169,516
408,728
409,1448
410,1514
139,905
411,1025
412,630
413,447
414,581
415,401
416,1008
417,123
418,484
162,960
419,334
420,688
421,471
422,473
423,339
424,740
425,1783
291,1019
426,874
427,441
428,429
429,352
430,979
431,710
432,991
433,422
434,437
435,1309
436,415
437,363
438,1234
439,912
440,999
441,374
442,443
443,375
444,1078
445,383
446,1013
447,382
448,1096
449,1032
450,950
451,1173
452,453
453,393
454,1605
455,249
456,428
457,1235
458,1568
459,1754
460,496
461,952
462,463
463,41
464,151
465,1022
466,474
467,468
468,419
469,597
470,746
471,472
472,335
473,476
474,812
475,1120
476,128
477,709
478,1017
479,1174
480,1029
481,482
482,617
483,458
484,638
485,469
368,486
486,487
487,1784
488,943
489,1039
490,760
491,886
492,1585
139,493
493,494
494,495
495,456
496,844
497,891
498,1785
499,1784
500,174
501,500
502,464
503,930
499,504
504,423
505,385
506,507
507,692
508,331
509,1462
510,511
511,475
512,1217
513,531
514,530
515,1183
516,571
517,1077
518,982
519,512
520,1501
521,1786
320,616
522,369
523,122
524,797
525,980
526,1240
527,1278
528,1408
529,1644
530,739
531,1787
532,529
533,542
143,539
534,1788
533,322
309,1764
535,329
536,547
537,535
538,949
539,537
540,173
541,311
542,308
543,846
544,1789
545,1790
546,551
547,1791
548,1223
549,556
550,1792
551,1793
552,1794
228,587
365,616
553,1275
554,212
555,795
556,730
557,971
558,1625
559,773
560,864
561,235
562,451
563,688
564,823
565,1097
566,147
200,1100
567,849
568,746
569,742
570,446
571,824
572,431
573,176
574,785
575,125
576,577
577,1214
64,1552
578,247
579,1041
580,934
278,377
581,1277
223,878
582,601
583,1239
584,1795
585,646
586,57
587,937
588,253
125,1190
589,118
590,371
591,662
579,1796
592,269
593,596
594,1797
595,848
596,1778
597,983
598,327
599,813
600,863
601,357
602,466
603,276
604,677
605,1036
606,281
607,703
608,192
609,853
610,676
611,666
612,195
613,658
614,222
615,604
616,1093
617,1689
618,1189
619,1162
620,262
621,555
622,523
623,1767
624,1181
625,346
271,686
626,7
627,564
628,583
629,1798
630,1799
631,1718
632,328
633,727
634,951
635,1800
636,582
637,333
638,1225
639,1407
640,681
641,825
642,1191
643,82
644,521
645,895
646,936
647,492
648,873
649,622
622,295
650,109
321,1801
651,1802
652,1593
653,156
654,202
655,1056
656,367
657,787
658,1337
659,513
660,135
661,1001
662,1766
663,142
664,1166
665,1803
666,821
578,832
667,1126
668,1282
669,142
670,158
671,1295
672,623
673,440
645,1804
674,987
675,798
477,680
676,584
677,1718
678,302
679,185
680,1797
681,682
632,985
682,804
683,1805
684,994
685,274
686,1254
687,289
688,1261
689,889
690,225
691,806
692,107
693,1238
694,640
695,519
696,1750
519,759
697,1072
698,1136
553,574
699,1076
700,1806
701,678
588,1063
702,693
703,1231
704,683
705,445
706,1123
707,481
708,664
709,1574
710,1002
711,1649
712,366
713,735
714,1262
376,1210
715,489
251,750
716,115
717,589
718,803
719,1807
720,229
276,278
721,1046
722,721
723,1780
724,1251
725,767
726,970
727,1182
728,160
729,916
730,871
731,563
732,242
633,243
733,713
734,1086
735,513
736,1194
737,1040
116,81
738,167
739,1098
594,595
620,205
740,1247
741,509
742,993
743,1380
744,54
745,1808
347,1757
746,1269
747,1795
748,620
749,1809
750,1213
751,774
718,1361
752,1118
753,907
754,557
755,1125
756,272
757,1759
758,1810
759,1067
760,838
286,1803
438,525
761,1274
762,1657
763,745
764,614
765,612
373,757
218,1811
766,450
767,674
768,1416
769,973
770,1208
771,902
772,136
773,268
774,723
775,193
776,1812
224,1047
777,257
778,1645
219,1702
779,955
780,1107
781,1171
782,781
783,1813
784,418
785,786
470,498
786,731
787,1037
590,1758
788,940
789,1155
790,737
791,1020
792,1044
189,1814
793,1814
794,652
795,1815
796,649
711,1526
626,460
797,847
798,226
799,807
800,157
801,1137
325,395
802,284
803,626
566,636
804,575
805,1372
399,1030
806,1090
807,1081
808,1629
809,621
810,1092
811,642
812,924
813,1212
814,1114
502,643
815,1263
816,903
817,877
818,1131
819,963
820,1788
821,1184
822,1285
823,1005
824,830
825,801
826,1222
827,1202
776,714
828,1805
829,1109
830,145
831,562
832,372
833,586
834,144
835,1172
836,981
837,811
184,2
838,1117
839,1053
840,125
841,1069
842,188
843,462
844,1816
845,1243
846,1799
847,718
848,1817
849,972
850,978
851,161
852,644
853,856
854,657
280,648
637,558
190,564
855,622
856,292
258,1802
857,585
858,131
859,1003
860,1012
861,698
862,223
203,1818
863,1819
864,1769
865,459
866,324
867,515
868,1704
869,947
870,995
871,1807
872,762
873,92
874,1147
875,1607
876,1761
877,1057
878,576
879,1103
501,548
880,1188
881,778
882,522
883,1786
884,167
885,1035
886,888
887,896
888,1164
889,849
890,1660
891,1110
873,1055
892,1074
893,938
894,568
747,1815
895,1808
896,1146
897,1134
898,1038
899,1808
900,761
901,976
902,192
163,388
784,904
903,766
904,420
905,1261
906,618
907,841
908,789
909,911
910,715
911,480
912,1255
704,1785
913,922
914,1000
915,1144
916,269
917,919
918,734
467,405
919,699
326,330
920,1151
921,670
922,866
450,1242
923,1244
146,1226
924,898
925,336
926,959
796,1771
649,523
927,660
928,1141
929,1145
930,485
931,1271
932,945
933,669
934,1769
935,580
540,87
253,162
936,326
937,1779
938,325
939,982
940,1199
772,925
941,444
942,1062
943,425
944,624
167,975
945,924
946,1215
947,829
948,655
949,1195
950,685
951,665
952,882
953,1124
954,406
955,719
883,884
956,935
957,599
958,923
959,965
960,1152
961,1065
403,729
962,822
963,210
964,465
700,1045
965,541
966,1159
693,1341
967,312
968,1801
969,1023
970,977
971,1193
972,1060
973,1024
749,1087
974,1248
975,570
976,1116
977,1809
978,845
979,706
980,755
981,788
406,966
982,283
983,600
984,483
985,1220
986,165
987,1221
988,836
989,748
763,815
990,879
991,362
992,1543
993,1106
994,827
995,1520
996,497
997,1218
998,619
999,1147
1000,1233
1001,995
1002,606
1003,996
1004,1009
521,684
1005,766
1006,725
1007,810
1008,772
811,1191
1009,1798
1010,1196
1011,921
1012,479
467,711
1013,1331
1014,647
1015,1185
1016,559
1017,931
1018,1203
706,353
1019,885
1020,312
1021,675
1022,1237
1023,416
1024,1033
1025,850
1026,1252
265,358
1027,986
1028,742
263,974
879,238
1029,169
1030,506
235,661
1031,1027
1032,992
1033,783
1034,1756
1035,1031
1036,962
1037,43
1038,1054
1039,1268
261,1061
1040,1405
1041,1028
1042,1265
1043,1224
1044,263
1045,1624
1046,237
225,1046
1047,793
1048,1014
1049,890
1050,1204
1051,526
1052,340
1053,733
1054,1049
1055,396
1056,258
1057,887
1058,1179
1059,1485
1060,997
1061,303
724,1804
1062,1169
1063,380
1064,1760
1065,338
1066,540
1067,391
1068,689
1069,1701
520,1140
1070,1653
1071,490
1072,642
1073,1142
1074,1068
1075,1066
1076,1259
1077,615
1078,1820
1079,457
1080,579
1081,1177
1082,345
1083,653
1084,1011
174,955
1085,751
1086,1207
1087,489
1088,1264
1089,557
1090,717
349,1821
1091,687
1092,1206
1093,928
276,1094
1094,1479
1095,800
1096,1812
1097,1104
1098,939
978,1083
1099,917
1100,1010
1101,1444
1102,1091
432,430
1103,792
1104,409
1105,1226
1106,1374
1107,411
1108,1129
1109,1782
1110,583
1111,140
1112,478
1113,1127
1114,915
1115,1071
275,802
665,1105
1116,1805
1117,1113
1118,1246
1119,1798
1120,741
1121,1115
1122,1015
1123,449
1124,426
1125,503
1126,862
1127,1058
1128,598
1129,1081
1130,988
264,756
1131,964
1132,861
1101,1143
1133,926
1134,958
1135,1481
1136,75
1137,602
1138,387
1139,1095
1140,1157
1141,1209
1142,838
1143,1073
1144,605
147,397
1145,1198
916,398
1146,1048
1147,1160
1148,1111
1149,172
1150,427
1151,175
1152,780
1153,1070
1154,410
1155,1158
1156,984
1157,217
1158,1266
1159,1241
1160,1178
1161,350
1162,1253
1163,384
1164,897
1165,1006
1166,1813
1167,1813
1168,1273
1169,1168
1170,1026
968,1180
1171,1167
948,1770
1172,872
1173,1521
399,402
1174,909
243,1082
1175,933
1176,455
176,1821
1177,669
1178,799
1179,1256
1180,690
1181,651
1182,777
1183,1161
1184,360
1185,298
1186,857
1187,403
1188,946
1189,990
1190,859
1191,343
1192,1249
1193,918
1194,517
1195,842
1196,1416
1197,433
1198,454
1199,881
223,1200
906,1255
1200,819
1201,260
1202,1201
1203,708
1204,818
1205,1149
1206,813
1207,1122
1208,705
1209,967
1210,906
1211,860
1212,969
1213,1816
1214,920
1215,439
1216,266
819,577
1217,522
183,461
1218,910
820,696
1219,1021
1220,1230
1221,659
1222,1807
1223,826
1224,1155
903,1005
1225,927
1226,1227
1227,230
1228,1227
1228,230
146,1228
81,77
1229,828
450,865
1230,782
1231,926
467,592
277,1034
1232,691
1233,957
1234,837
1235,396
1236,1806
1237,1236
1238,1248
1239,518
1240,1133
1241,1175
1242,1150
1243,427
1244,942
1245,370
1246,1084
1247,1108
1248,954
1249,1050
1250,892
1251,893
1252,417
1253,663
1254,491
1255,183
1256,1675
1257,1197
1258,132
1259,914
1260,488
1261,1042
1262,1811
1263,989
1264,291
738,1052
1265,1151
961,1004
1266,1051
1267,168
1268,11
210,1205
245,1075
1269,1156
1270,356
1271,1272
1272,744
1273,1245
1274,1128
1275,793
1276,913
1277,561
1278,880
1279,1652
1280,1783
1281,1594
1282,1595
1283,1415
211,1704
1284,1332
1285,822
1286,1411
1287,1622
285,1471
1288,1468
1289,1822
1290,1582
1291,1517
191,1386
1292,1728
1293,1325
1294,901
287,1424
1295,1302
1296,1376
1297,1313
1298,1340
1299,1384
1300,1336
1301,1618
1302,1518
1303,1500
1304,1367
1305,1626
1306,1305
1307,1308
1308,170
1309,226
1310,1395
1311,1406
1312,1620
199,1267
1313,1363
1314,1480
1315,198
1316,1267
1317,1823
1270,1684
603,1377
1318,1357
1319,1555
1320,1432
817,1535
1283,1605
1321,1375
1322,234
1323,204
1324,1822
1325,668
743,1059
1326,1824
697,1615
1327,1381
1328,1381
232,211
1329,697
234,204
1330,1285
1331,1825
1332,1826
1333,1316
199,1654
1334,901
1335,1635
1336,1676
1154,126
1337,1412
1338,854
1318,1762
1317,1329
1339,1383
1340,1827
1341,1707
1283,1828
254,1119
1342,231
1343,1609
1344,1322
794,1387
1345,1622
1346,1362
1347,1508
209,1430
1348,1485
1349,1588
1059,1641
1350,1719
216,758
1351,358
1351,358
1352,1351
1353,1616
1354,1796
1355,1393
227,1328
1356,184
1357,1536
932,1345
1358,1608
1359,1296
229,1281
1360,1752
303,1829
1361,1403
1362,1349
1363,285
1364,244
1365,1337
1366,165
1367,1569
1286,1820
1368,1830
1369,1449
1370,1593
1371,1606
1372,1312
1373,1494
1373,305
1370,1649
191,1413
1374,1352
1375,560
256,1303
1376,1502
1377,1551
1378,1301
1379,1299
1380,394
1381,720
226,1335
24,1216
1382,1099
1383,1679
279,124
1384,1669
1385,1417
1386,1647
672,1608
1387,254
1388,1831
1389,1479
854,1270
1239,514
1357,1667
214,1321
130,1768
129,608
1390,1493
194,1572
267,1059
89,259
1391,1553
1392,1589
201,1693
1393,1391
1394,1824
1395,1762
1396,56
1397,1509
1398,1590
1399,1439
1400,808
386,1102
300,129
1401,1592
1402,1324
1403,1566
1404,126
1405,1404
1406,1726
1407,1725
293,1627
1408,1350
1409,1315
1410,1832
1411,932
668,1833
1412,1575
1413,1648
1414,1703
840,1510
1415,1644
1416,1668
1417,1556
1418,1419
1419,1289
133,1360
1420,314
1421,133
308,1360
1422,1507
1119,293
1423,207
319,1707
1424,1709
752,1822
378,1429
1425,1834
1402,1835
1079,28
1426,628
627,1427
1427,1521
1428,24
1429,1650
1430,1663
1431,342
1432,1638
1433,1434
1434,610
1435,279
1436,300
1437,1438
1438,1366
1291,1800
1439,1642
1440,1483
392,1783
1441,354
1442,1326
1443,1369
1444,1445
1445,1624
1446,1564
1447,1450
1448,1586
1449,1550
1450,1451
1451,1464
1452,1631
1453,1781
894,1454
1454,1613
1455,1456
1456,1499
1457,1577
1211,1458
1458,1505
1459,23
1460,1297
1461,1636
1462,1836
1463,1817
1462,1402
639,1407
1464,1817
1398,1334
1465,1591
1466,532
1467,1373
1468,1837
436,190
194,1833
631,319
1469,1614
201,1828
1470,1478
1471,1473
514,1295
1472,1476
1473,1838
1474,322
1474,533
314,1752
1475,1466
354,1839
1476,1368
1099,1721
1477,1410
941,1519
1478,1343
1479,603
1480,1405
1481,1680
1482,1840
1483,808
1484,1837
1485,267
