nodeID_from,nodeID_to
1,669
2,11251
3,4574
4,9277
5,485
6,48
7,608
8,133
9,230
10,11530
11,86
12,549
13,119
14,11530
15,397
16,11531
17,271
18,273
19,610
20,412
21,209
22,23
23,11532
24,446
25,526
26,11533
27,200
28,9
29,7440
30,2313
31,155
32,11534
33,593
34,453
35,4175
36,568
37,403
38,368
39,11535
40,449
41,11536
42,1153
43,445
44,3101
45,346
46,338
47,287
48,11537
49,874
50,333
51,479
52,611
53,7127
54,6048
55,11538
56,386
57,58
58,11539
59,2298
60,2199
61,82
62,3147
63,246
64,8390
65,11540
66,4184
67,11541
68,130
69,471
70,11542
71,3122
72,2068
73,592
74,220
75,628
76,693
77,11543
78,45
79,390
80,110
81,4484
82,564
83,87
84,3952
85,145
86,545
87,11544
88,341
89,41
60,361
90,552
91,126
92,124
93,125
94,167
95,127
96,11373
97,11545
98,7435
99,148
100,5306
101,149
102,162
103,11202
104,8665
105,11546
106,68
107,104
108,166
109,8345
110,11547
111,7719
112,178
113,161
97,173
114,4484
115,133
116,990
117,7164
118,6038
119,6346
94,131
120,121
121,7409
122,93
123,6791
124,8337
125,172
126,11548
127,11549
128,100
129,164
130,691
131,11550
132,171
133,10571
134,147
123,4704
135,116
136,8865
137,80
138,8441
139,11545
140,10466
141,117
142,10393
143,2
144,157
145,176
146,151
147,7454
148,5881
149,6123
150,141
151,5036
152,11551
153,168
94,85
154,165
155,9138
156,10697
157,9185
158,11551
159,96
160,7374
161,4
162,179
163,1604
164,11286
165,8254
166,7451
167,91
168,152
169,105
170,98
171,7540
172,11552
88,143
173,153
174,139
175,1699
176,137
177,8990
178,174
179,112
180,248
181,11553
182,3528
183,11554
184,624
185,11555
186,256
187,294
188,270
189,604
190,27
191,11556
192,11557
193,185
194,2697
195,11550
196,11558
197,11559
198,671
199,578
193,24
200,550
201,221
28,304
202,11560
203,11561
204,11562
205,650
206,4049
207,342
208,515
209,205
210,222
211,11563
212,210
54,11564
109,322
213,11565
214,649
215,11566
216,5820
217,415
218,644
219,11567
220,677
221,524
222,2278
223,401
224,435
225,430
52,21
226,642
227,448
228,207
229,11568
230,11569
231,544
232,594
233,229
234,652
235,2065
236,659
237,283
238,469
239,681
240,612
241,637
242,268
50,519
243,296
244,451
245,11570
246,398
247,2998
248,13
249,8
250,393
22,2716
251,218
252,484
253,500
254,455
255,579
256,498
257,289
258,11571
259,11572
260,478
261,244
262,290
263,5877
264,188
265,4588
266,11573
267,258
268,311
269,11574
270,525
271,571
272,241
273,263
274,196
275,702
276,366
277,616
278,345
279,474
280,538
281,334
219,11575
282,11576
283,4634
49,11577
284,12
285,630
286,11578
287,291
288,2194
289,399
290,632
291,231
292,251
293,61
239,400
183,11579
294,299
295,335
296,1034
297,11561
298,486
299,272
300,11580
301,11581
302,11582
7,11538
303,556
304,465
305,494
306,384
307,206
308,79
309,551
310,5387
311,589
312,626
313,487
314,2166
315,11583
316,3427
317,394
318,75
279,580
319,437
320,67
321,352
322,11584
323,450
324,69
325,11585
326,11586
327,429
328,615
329,2997
330,64
331,2698
332,261
333,180
334,11587
335,328
336,606
337,460
338,464
15,376
339,280
340,11588
341,303
342,587
343,232
344,463
345,510
346,493
347,407
348,11589
349,4119
350,181
351,11590
352,11591
353,2074
354,81
355,297
356,35
357,11578
358,267
359,371
360,672
361,11592
362,359
363,305
364,11593
365,1604
366,224
367,414
266,533
123,528
368,547
369,443
370,11594
371,446
372,8320
373,316
374,621
375,324
376,595
377,318
378,2632
379,454
380,11595
381,2862
382,11596
383,503
384,360
385,508
386,9621
387,499
388,51
389,2069
390,11597
391,11561
392,350
393,703
394,11537
395,11556
396,250
397,11598
398,11599
399,11600
400,6891
401,11601
127,255
402,66
403,197
404,472
405,468
406,1157
407,605
408,49
378,2681
409,11602
410,40
411,682
412,432
413,11590
414,2542
415,638
416,497
417,11575
418,541
419,358
420,4927
317,323
421,351
422,11595
423,344
424,11603
425,5361
426,542
427,11604
52,227
428,11605
429,309
430,11603
382,11555
431,3630
432,496
433,535
434,452
435,514
436,2160
437,447
438,90
439,11606
440,11607
441,276
442,192
443,482
444,625
445,2885
446,476
447,11566
340,11608
448,409
449,419
450,11609
104,269
451,184
5,282
452,11610
453,825
454,488
455,501
456,2278
457,428
458,213
459,849
460,370
461,1927
462,38
463,3223
431,288
464,569
465,4290
466,591
467,456
61,5497
468,11611
469,36
470,4652
78,421
375,396
471,285
472,582
473,506
474,11598
475,11612
476,343
477,11580
478,253
308,56
479,11386
480,686
481,599
482,260
483,240
484,11613
485,11614
486,410
487,385
488,444
489,696
490,11584
491,191
492,11615
493,640
281,11540
494,529
495,2314
496,332
497,490
498,295
408,11616
499,11576
500,585
501,11617
502,461
503,539
504,477
505,4615
506,561
507,339
508,278
509,11595
510,257
511,646
512,3963
513,124
514,11618
515,439
516,11601
517,572
518,11591
519,312
520,618
521,420
522,71
523,492
524,440
525,614
526,661
527,11619
528,11620
529,292
530,590
531,4294
532,596
533,424
534,583
535,4699
536,648
537,11616
538,325
539,635
540,11579
541,543
186,18
395,577
41,1936
542,480
543,1799
544,402
545,11621
546,581
547,6
548,6788
549,11592
550,655
551,354
552,634
553,11622
554,254
555,11
556,286
557,8069
558,353
559,228
560,11558
561,502
562,534
563,1388
564,695
565,364
566,602
567,530
568,189
569,3430
570,639
571,609
572,557
573,5491
574,14
575,195
576,523
577,320
578,11623
579,11624
580,65
581,9150
582,208
583,11625
584,601
329,3010
585,148
336,11611
586,495
587,327
588,839
589,540
590,688
591,357
592,25
576,2426
593,11626
594,11627
595,355
596,457
597,3871
598,483
599,892
600,1763
601,423
602,215
603,1831
454,1209
604,417
605,374
606,1300
607,792
608,11628
609,537
610,459
611,643
612,337
613,11564
614,11629
615,238
616,2197
603,211
617,680
618,699
619,34
620,405
621,262
406,214
622,235
623,11630
624,890
625,204
626,11631
627,651
628,553
629,619
242,511
630,560
631,234
632,2044
633,136
634,319
635,225
636,11567
388,11632
637,404
638,11612
639,4528
504,11633
640,554
636,617
641,199
642,11634
643,187
644,566
645,491
646,217
647,613
648,520
73,562
649,441
650,692
651,377
149,462
652,7570
653,458
654,53
655,2701
656,11635
657,11636
658,11637
659,2304
660,11630
661,33
662,11638
663,664
664,665
665,656
666,11639
667,111
668,2607
669,11640
670,11539
671,39
672,425
673,11574
674,434
283,11641
675,3877
676,573
677,365
678,298
679,2048
243,11642
680,518
681,223
682,660
683,249
684,588
685,2255
522,302
686,11643
687,3529
688,252
689,513
690,4447
691,150
692,3245
693,4725
138,489
694,11644
695,532
696,11645
697,11646
698,146
699,313
700,11647
701,310
702,212
703,629
704,5723
705,11648
706,3507
707,5420
708,3989
709,4839
710,4427
711,10184
712,11649
713,3889
714,182
715,788
716,11650
717,3113
718,771
719,1597
720,4976
721,11651
722,1637
723,11262
724,5195
725,4759
726,1692
727,11652
728,3258
729,11653
730,3405
731,4322
732,4950
733,3770
734,3109
735,11625
736,11654
737,4886
738,7522
739,3049
740,1730
741,109
742,1106
743,4451
744,1448
745,1678
746,3235
747,8736
748,11655
749,1956
750,3291
751,4960
752,1921
753,1921
754,1195
755,1240
756,11656
757,1400
758,11657
759,5382
760,1220
761,1846
762,1575
763,3822
764,7087
765,4895
766,4364
767,11658
768,5802
769,1729
770,1948
771,2036
772,773
773,2688
774,2612
775,11659
776,2461
777,2041
778,2444
779,11660
780,2035
781,11661
782,4142
783,784
784,5622
785,1480
786,5164
787,1125
788,4786
789,2798
790,4550
791,10247
792,988
793,1266
794,11662
795,5194
796,5044
797,3851
798,3938
799,5589
800,876
801,3460
802,4623
803,1128
804,1032
805,3337
806,10655
807,9393
808,11663
809,2164
810,4126
811,1601
812,1319
813,11664
814,1208
815,2542
816,4007
817,10988
818,3898
