nodeID_from,nodeID_to
1,6
1,684
1,692
1,874
1,779
6,1
12,89
14,116
14,111
16,651
17,490
17,56
26,113
26,863
28,351
28,94
28,231
28,849
36,94
36,44
44,866
44,36
50,92
50,870
53,868
56,102
56,17
56,490
61,92
61,613
64,106
64,868
71,867
71,95
71,423
73,869
73,867
75,861
75,703
89,12
89,90
90,367
90,275
90,89
92,50
92,61
94,28
94,36
95,71
95,423
95,508
95,550
99,859
99,504
99,874
99,131
99,216
102,56
106,64
106,888
106,882
111,14
113,26
113,862
113,276
113,367
113,252
116,14
116,864
116,296
116,138
128,250
128,321
128,343
131,215
131,167
131,99
131,504
131,874
131,216
137,231
137,384
138,116
138,296
138,864
138,541
138,466
167,131
167,884
167,215
167,871
167,434
177,281
177,178
178,229
178,177
181,281
181,488
181,856
184,296
184,540
184,321
184,583
184,549
187,349
187,190
188,222
189,259
190,838
190,187
190,606
203,291
203,295
205,243
205,478
205,845
206,459
206,375
215,291
215,131
215,167
216,297
216,99
216,504
216,874
216,131
222,188
222,373
229,275
229,178
231,137
231,28
231,351
231,849
241,250
241,888
243,205
243,459
247,369
247,434
250,128
250,241
250,343
252,426
252,367
252,276
252,862
252,113
259,391
259,189
262,428
262,418
275,229
275,90
275,367
276,885
276,862
276,367
276,113
276,252
281,181
281,177
291,203
291,215
295,203
296,184
296,116
296,138
296,864
296,549
297,216
297,892
297,884
316,457
316,530
321,540
321,128
321,184
321,583
343,457
343,128
343,250
349,891
349,187
351,838
351,28
351,231
351,849
352,396
352,879
364,458
367,90
367,252
367,276
367,275
367,862
367,113
369,247
369,374
373,878
373,222
374,878
374,369
375,206
379,891
379,626
379,896
384,443
384,137
391,259
391,484
391,682
396,882
396,352
408,889
408,885
408,626
408,426
418,458
418,262
423,889
423,95
423,71
426,626
426,252
426,408
428,262
428,443
434,247
434,871
434,167
434,884
443,384
443,428
457,343
457,316
458,418
458,364
459,206
459,243
464,561
464,532
466,590
466,641
466,541
466,138
469,633
469,896
478,205
478,550
478,845
484,565
484,682
484,391
488,181
488,856
488,544
490,17
490,553
490,56
492,749
492,553
504,684
504,874
504,99
504,131
504,216
505,540
505,641
507,561
507,791
508,550
508,95
514,692
514,577
519,596
519,639
519,554
522,551
522,779
530,590
530,316
532,783
532,464
534,577
534,549
540,321
540,505
540,184
540,583
541,669
541,138
541,466
544,488
544,906
547,669
547,613
549,534
549,296
549,184
550,478
550,508
550,95
551,522
551,583
553,490
553,492
554,639
554,612
554,519
561,464
561,507
565,484
565,596
577,534
577,514
581,682
583,551
583,184
583,540
583,321
590,530
590,641
590,466
592,797
592,749
592,612
596,519
596,565
606,847
606,838
606,190
608,767
608,610
610,661
610,847
610,608
612,592
612,554
613,61
613,547
626,426
626,896
626,408
626,379
633,469
633,661
639,554
639,767
639,519
641,590
641,466
641,505
651,843
651,16
651,783
661,610
661,633
661,847
669,541
669,547
682,484
682,581
682,391
684,504
684,874
684,1
684,692
684,779
692,514
692,684
692,874
692,1
692,779
703,843
703,861
703,75
749,492
749,592
749,797
767,608
767,639
772,804
772,906
779,522
779,684
779,1
779,692
779,874
783,532
783,651
783,843
791,507
791,804
797,803
797,592
797,749
803,797
803,845
804,772
804,791
838,351
838,190
838,606
843,651
843,703
843,783
845,803
845,478
845,205
847,610
847,661
847,606
849,856
849,231
849,28
849,351
856,181
856,488
856,849
859,99
861,75
861,703
862,113
862,276
862,367
862,252
863,26
864,116
864,296
864,138
866,44
867,71
867,73
868,64
868,53
869,73
870,50
871,434
871,167
871,884
874,504
874,684
874,99
874,692
874,1
874,779
874,131
874,216
878,373
878,374
879,352
882,396
882,106
882,888
884,167
884,871
884,892
884,434
884,297
885,276
885,889
885,408
888,106
888,882
888,241
889,423
889,885
889,408
891,349
891,379
892,297
892,884
896,626
896,469
896,379
906,544
906,772
