nodeID_from,nodeID_to
3,19
3,58
7,46
7,21
7,144
10,47
10,34
14,144
14,141
19,3
19,21
21,19
21,7
21,144
21,46
26,29
26,34
29,26
29,203
34,10
34,26
46,47
46,7
46,21
46,144
47,46
47,10
57,58
57,205
58,57
58,3
78,172
78,108
78,176
108,78
112,207
112,188
114,187
114,184
114,209
120,188
139,176
141,14
141,187
144,14
144,7
144,21
144,46
172,78
172,176
172,209
176,139
176,172
176,78
182,184
182,207
184,182
184,187
184,114
187,184
187,114
187,141
188,112
188,120
203,29
205,57
207,112
207,182
209,114
209,172
