nodeID_from,nodeID_to
1,57054
2,1
3,1332
4,57055
5,1182
6,2711
7,37069
8,4962
9,119
10,355
11,553
12,125
13,141
14,78
15,231
16,37087
17,7
18,521
19,16
20,41
21,37513
22,360
23,214
24,374
25,39
26,82
27,62
28,161
29,378
30,30216
31,3534
32,33
33,383
34,203
35,55
36,302
37,101
38,40
39,136
40,40327
41,57056
42,50
43,148
44,809
45,808
46,139
47,388
48,433
49,6135
50,515
51,563
52,48
53,63
54,73
55,15
56,4877
57,57057
58,83
59,4876
60,212
61,57058
62,57
63,65
64,192
65,4880
66,267
67,4883
68,4964
69,37728
70,221
71,262
72,232
73,149
74,57059
75,57060
76,59
77,12615
78,1165
79,87
80,64
81,72
82,3158
83,257
84,58
85,57061
86,97
82,254
87,67
88,282
89,4878
90,75
85,670
91,458
92,94
93,92
94,3445
95,1186
96,70
97,191
98,263
99,220
100,167
101,211
102,103
103,57062
104,57063
105,57062
105,106
106,107
107,108
108,57064
109,57064
110,57065
111,57065
109,57066
110,57066
112,117
113,114
114,57067
111,113
115,57067
115,116
116,118
117,57068
118,112
119,57068
9,57069
120,57069
121,439
120,57070
122,138
123,230
124,57070
125,124
126,162
127,3456
128,130
129,128
130,127
131,129
132,144
133,134
134,391
135,84
136,174
137,237
138,245
139,88
140,240
141,66
142,239
143,133
144,1017
145,1406
146,132
147,25
148,160
149,241
150,146
151,150
152,12663
153,57071
154,151
155,665
156,12236
157,3462
158,11216
159,57072
160,135
161,18
162,100
163,153
164,142
165,243
166,53
167,54
168,170
169,617
170,176
171,185
172,12257
173,4882
174,26
175,57073
176,213
177,36584
178,180
179,37347
180,181
181,182
182,35798
183,41637
184,235
185,122
186,228
187,57074
188,14
189,96
190,46
191,189
192,126
193,77
194,258
195,196
196,238
197,35312
198,197
199,281
200,199
201,204
202,205
203,218
204,200
205,201
206,57075
207,188
208,296
209,158
210,172
211,71
212,123
213,208
214,173
215,216
216,202
217,30362
218,207
219,184
220,168
221,90
222,57076
223,217
224,40100
225,236
226,1286
227,57077
228,165
229,13
230,166
231,76
232,99
172,4879
233,405
234,27
235,81
236,20882
237,271
238,89
239,171
240,229
241,270
242,234
243,80
244,35
245,79
246,20881
247,14827
248,1227
249,251
250,534
251,12593
252,249
253,252
254,140
255,301
256,190
257,37
258,57078
259,269
260,5298
261,5271
262,266
263,600
264,36345
265,4881
266,56
267,23
268,255
269,4884
270,259
271,298
272,274
273,275
274,57079
275,295
276,56565
277,30545
278,277
279,278
280,305
281,206
282,194
283,57080
284,294
285,40879
286,283
287,285
288,292
289,537
290,291
291,57081
292,290
293,219
294,602
295,310
296,98
297,6494
298,209
299,256
300,297
301,293
302,57079
303,273
304,303
305,14223
306,280
307,309
308,28114
309,12487
310,4886
311,543
312,5005
313,39834
314,11
315,522
316,4941
317,14783
318,40039
319,317
320,415
321,428
322,57082
323,518
324,564
325,4983
326,575
327,354
328,12546
329,14590
330,12522
331,8
332,13860
333,409
334,14228
335,12403
336,370
337,12490
338,328
339,57083
340,12289
341,340
342,441
343,57084
344,82
345,501
346,594
347,331
348,5052
349,589
350,3518
351,398
352,4982
353,512
354,401
355,4889
356,57085
357,567
358,514
359,12491
360,350
361,406
362,4888
363,429
364,499
365,434
366,467
367,645
368,372
369,513
370,399
371,14589
372,554
373,395
374,39155
375,24
376,375
377,376
378,3528
379,31
380,377
381,29
379,381
382,416
383,384
384,386
385,1549
386,47
387,3535
388,387
389,36363
390,389
391,5003
392,57086
393,5054
394,5054
395,57087
396,478
397,352
398,24848
399,57088
400,325
401,480
402,477
403,57089
404,5036
405,57090
406,57091
407,329
408,550
409,371
410,366
411,412
412,343
413,474
414,320
415,520
416,526
417,584
418,30
419,490
420,344
421,6459
422,419
423,497
424,528
425,423
426,561
427,414
428,590
429,57092
430,35537
431,430
432,671
433,3542
434,529
274,6456
435,540
436,519
437,5001
438,555
439,57093
440,579
441,10692
442,479
443,57093
444,445
445,450
446,449
447,510
448,446
449,14726
450,451
451,452
452,453
453,454
454,455
455,456
456,457
457,91
458,459
459,57094
460,37738
461,420
462,57095
463,411
464,497
465,422
466,505
467,369
468,57096
469,4753
470,57097
471,15102
472,907
473,57098
474,410
475,470
476,873
477,13857
478,356
406,12231
479,487
480,57099
481,4830
482,576
483,357
484,345
485,421
486,442
487,358
488,504
489,486
490,535
491,498
492,57100
493,485
494,6448
495,10
417,365
496,495
497,592
498,408
499,562
500,503
501,551
502,335
503,334
504,489
505,353
506,373
507,57101
508,509
509,347
510,511
511,57102
512,57103
513,13858
514,508
515,39841
246,12054
516,493
517,403
518,583
519,548
520,465
521,368
522,363
523,591
524,588
525,6455
526,57104
527,546
528,532
529,496
530,573
531,314
532,593
533,4759
534,11808
535,491
536,57105
537,288
538,3547
539,36
540,6473
541,581
542,274
543,57106
544,322
545,524
546,585
547,723
548,549
549,57107
550,382
551,427
552,746
553,6409
554,569
555,5000
556,4740
557,154
558,4741
559,413
560,4750
561,574
562,417
563,42
564,30437
565,179
566,4705
567,488
568,4785
569,57108
570,464
571,57109
572,582
573,525
574,527
575,404
576,12319
577,32029
578,57110
579,542
580,4934
497,323
581,364
582,494
583,315
584,484
585,424
586,539
587,6516
588,425
589,559
590,516
591,545
592,426
593,541
594,544
595,36647
596,36627
597,596
598,5147
599,57111
600,5059
601,36660
602,30103
603,753
604,605
605,57112
606,52575
607,606
608,674
609,57113
610,47859
611,36582
612,37752
613,12686
614,613
615,57114
616,57115
617,12502
618,38309
619,37768
620,857
621,3438
622,6293
623,24206
624,37150
625,624
626,628
627,632
628,57116
629,30452
630,629
627,1259
631,630
632,631
633,51199
634,1902
635,57117
636,57118
637,57119
22,3519
637,638
638,57118
639,636
640,639
641,640
642,643
643,647
644,5951
645,646
646,642
647,688
648,37916
649,44544
650,649
651,57120
652,54948
653,652
654,27612
655,668
656,57121
657,661
658,37307
659,662
660,57122
657,18319
661,656
662,655
663,3240
664,12629
665,557
666,667
667,906
668,57121
669,4629
670,3444
671,672
672,52
673,11697
674,35326
675,6074
676,20653
677,681
678,30273
679,36686
680,679
681,30015
682,677
683,682
684,683
685,687
686,684
687,686
688,690
689,35333
690,689
691,57123
692,712
693,896
694,697
695,264
696,899
697,696
698,3901
699,698
700,699
701,700
702,703
703,10508
704,900
705,709
706,707
707,705
708,5599
709,710
710,5034
711,5696
712,713
713,57124
714,36559
430,715
715,716
716,5035
717,718
718,719
719,547
720,721
721,722
722,717
723,57125
724,738
725,726
726,727
727,730
728,735
729,728
730,732
731,552
732,734
733,745
734,736
735,733
736,724
737,739
738,784
739,57126
740,754
741,742
742,750
743,6336
744,747
745,743
746,740
747,741
748,57127
749,744
750,752
751,755
751,756
752,766
753,57128
754,57129
755,758
748,773
756,757
757,760
758,770
759,761
760,767
761,764
762,749
763,762
764,765
765,769
766,57130
767,768
768,774
769,778
770,763
771,57131
772,771
773,775
774,759
775,57131
776,44
777,57132
772,57133
778,777
779,57133
780,57130
779,57132
781,57134
782,780
783,57134
784,792
785,895
783,786
786,787
787,789
788,782
789,797
790,788
791,790
792,793
793,795
794,791
795,776
796,776
797,798
798,805
799,804
800,807
801,806
802,801
803,802
804,794
805,796
806,799
807,803
808,800
809,810
810,811
811,812
812,813
813,815
814,45
815,814
816,5174
817,57135
818,156
819,57136
820,822
821,57137
822,823
823,825
824,57138
825,12634
826,827
827,12276
828,868
829,10602
830,829
831,832
832,12590
833,898
834,10427
835,5552
836,5140
837,13013
838,840
839,57139
840,839
841,855
842,57140
843,57141
844,864
845,57142
846,856
847,462
848,4994
849,57143
850,57143
851,852
852,847
849,848
853,845
854,57144
851,850
855,57142
853,57145
856,841
857,842
858,5136
859,11836
860,862
861,57145
862,859
846,843
863,828
864,57140
865,860
866,867
867,869
868,866
869,57146
870,57146
871,12678
872,871
873,876
874,57147
875,57148
876,3465
877,57148
476,879
878,35443
879,877
880,878
624,881
881,882
882,1019
883,926
884,888
885,902
886,57149
887,885
888,887
889,884
890,905
891,892
892,57150
893,874
894,893
895,197
896,36941
897,5135
898,12243
899,3900
900,701
901,57151
902,57152
903,37018
904,889
905,904
906,155
907,448
908,6353
909,5007
910,1145
911,935
912,3986
913,6015
914,5170
915,2496
916,57153
917,57153
918,52666
817,20901
919,38502
920,922
921,919
922,921
923,918
924,3256
925,30598
926,924
925,57154
927,57154
928,3255
929,38499
930,929
931,57120
932,30650
932,57155
933,38564
934,30592
933,955
935,934
911,1055
936,651
937,57156
937,57157
938,939
939,817
940,947
941,946
942,940
943,945
944,943
932,944
945,942
946,57158
947,941
948,957
949,951
950,57153
951,950
952,948
953,954
954,952
955,57159
956,4098
957,949
958,7503
959,57160
960,7040
961,57161
962,615
963,57162
964,994
965,1073
966,57163
967,994
968,5220
969,968
970,57164
971,970
972,615
973,1040
974,984
975,1040
976,38700
976,39458
977,57165
978,958
979,57166
979,959
980,57167
981,30863
982,1015
983,3866
983,57168
982,4306
984,54918
985,39545
986,5465
987,57169
988,3579
989,3579
990,57161
991,57170
992,57160
993,3840
994,57171
995,57172
996,57173
997,996
998,980
999,1000
1000,38675
1001,57160
1002,57174
1003,5339
1004,57174
1005,7449
1006,1005
1007,54877
1008,32180
1008,38755
1009,5585
1010,57136
1011,5863
1012,57175
1013,2284
1014,1007
1015,57176
1016,14529
1017,131
1018,5737
1019,886
1020,5739
890,57177
1021,57178
1022,57179
1023,57180
1024,57181
1025,57178
1026,57182
641,57183
1027,1087
1028,1036
1029,7217
1030,57184
1031,57185
1032,57185
1033,57172
1034,57186
1035,1164
1036,57187
1037,4814
1038,57188
1038,13650
1039,6787
1040,57189
1041,1035
1042,57161
1043,1046
1043,57190
1044,57191
1045,14445
1044,1045
