nodeID_from,nodeID_to
2,31137
2,31095
2,7070
2,19040
2,19223
2,31913
2,60729
2,31889
2,39468
2,10974
6,2712
7,182
7,36121
7,328
7,394
7,57101
7,472
7,393
7,39137
7,318
10,355
10,495
11,314
11,553
14,78
14,218
15,76
15,244
16,57102
16,40912
16,317
16,10694
21,57096
21,57081
21,24901
21,41
21,340
21,12663
26,3158
26,240
26,461
26,147
27,234
27,57057
28,237
28,372
34,218
34,10522
34,10520
36,302
37,211
37,83
40,14223
40,39296
40,41
41,40
41,57096
41,21
42,51
42,35687
42,40563
44,810
44,798
44,736
46,139
46,265
51,42
53,230
53,4880
56,164
56,211
58,83
58,135
61,8128
61,32331
61,19416
61,1876
61,54790
61,19442
61,54437
61,45247
61,20364
61,54282
67,79
67,5044
69,12663
69,4964
72,81
72,168
73,241
73,100
74,1420
74,18398
74,19011
76,15
76,230
77,193
77,12615
78,14
78,1165
79,245
79,67
80,100
80,4885
80,31129
81,72
81,219
83,58
83,37
96,191
96,57060
100,73
100,80
122,185
122,245
133,35672
133,433
133,39798
133,12617
133,39593
133,57061
135,160
135,58
139,46
139,282
142,164
142,171
147,3159
147,26
153,163
160,135
160,4880
163,153
163,39296
164,142
164,56
168,213
168,72
171,185
171,142
177,39844
177,179
177,503
177,10717
177,328
179,177
179,180
180,182
180,179
182,180
182,7
182,328
182,394
182,57101
182,472
182,393
182,39137
182,318
183,3253
183,31525
183,3057
185,122
185,171
187,18612
187,659
187,58998
187,44797
187,7523
187,44016
187,18285
187,57110
187,18374
191,96
191,238
193,77
193,12270
195,238
195,267
199,201
199,57075
201,199
201,39786
201,453
211,37
211,56
213,168
213,3159
217,224
218,34
218,14
219,81
219,30104
219,30594
224,217
224,40102
224,617
229,240
229,267
230,53
230,76
234,27
234,5044
236,403
236,24839
236,513
236,246
236,332
236,283
237,271
237,28
238,195
238,191
240,229
240,26
240,3158
240,461
241,73
241,259
244,15
245,79
245,122
246,14589
246,57077
246,236
251,252
251,534
252,251
252,309
259,241
259,265
261,5329
261,5384
261,57719
261,48696
265,259
265,46
267,229
267,195
271,237
271,298
275,304
275,294
277,278
278,277
280,305
282,139
282,57078
283,286
283,24839
283,403
283,236
283,513
283,332
285,10694
285,286
286,283
286,285
294,602
294,275
297,6494
297,346
298,271
298,29988
298,30046
302,36
302,57079
304,275
305,280
305,14223
308,4990
308,8507
308,47648
308,21150
308,28152
308,20995
308,32844
308,32851
308,47846
308,47970
308,26922
308,28109
308,61580
308,47709
308,47781
308,28103
308,8523
308,47837
308,59484
308,47833
308,4850
308,32005
308,47670
308,8529
309,252
309,564
311,543
311,4889
313,5005
313,40563
314,11
314,531
315,522
