nodeID_from,nodeID_to
4,934
4,2896
4,1290
4,591
4,6016
4,1315
4,5680
4,3576
4,2223
4,5527
14,415
25,633
25,3630
25,3637
25,3635
38,173
40,6608
40,6208
40,6971
40,3298
40,473
53,6195
63,5112
63,209
63,6976
66,6151
66,823
79,162
79,779
108,2799
108,6215
108,284
108,918
108,1239
108,390
108,1241
108,6120
108,3503
108,5499
108,3475
108,797
108,124
108,1217
108,1223
108,1231
108,3483
108,3426
108,3423
108,3433
124,675
124,511
124,797
124,285
124,3475
124,6215
124,1217
124,918
124,3503
124,1223
124,3483
124,390
124,1241
124,6120
124,1239
124,108
124,2799
124,5499
124,1231
124,3426
124,3423
124,3433
162,79
162,190
162,758
173,38
181,6044
181,2835
181,3286
181,5237
181,3410
190,162
190,758
190,197
191,3630
197,6174
197,190
197,3327
197,6209
197,828
197,5137
209,5307
209,63
209,6976
211,6098
211,225
212,847
212,3366
212,5112
212,2134
214,285
214,314
225,211
225,4674
225,4603
237,6074
237,789
237,6749
237,3806
237,1609
237,4032
237,3914
237,1545
237,2969
237,6240
237,5609
237,6376
237,3808
237,6015
237,5683
237,3796
237,3814
237,3795
237,2911
237,2504
237,5334
237,2530
237,2910
237,2900
237,5668
237,2486
237,5588
237,620
237,2409
237,4101
237,900
237,947
242,722
242,2594
242,4378
242,552
242,6077
242,4494
242,380
284,6041
284,108
285,511
285,675
285,124
285,214
285,314
289,2799
289,6152
289,5275
289,2870
289,3521
304,6179
304,6289
304,5898
304,6282
304,607
304,4744
304,834
304,2021
304,3352
304,787
304,6052
304,1069
304,588
304,812
304,6906
304,575
304,4834
304,2694
304,4525
304,6947
304,6259
304,2643
304,354
304,4527
304,4806
304,4932
304,4531
304,2673
304,4530
304,3353
304,5848
304,3363
304,2039
304,4603
304,2048
304,4705
304,4735
304,1173
304,2697
304,717
304,1110
304,2105
304,2781
304,4972
304,445
304,2686
304,2692
304,4934
304,5003
304,2089
304,5804
304,4493
304,6595
304,6207
304,2795
304,3274
304,5297
304,1115
304,2279
304,5911
304,2204
304,3366
304,6096
304,1114
311,320
311,758
314,214
314,285
317,515
317,6193
318,354
320,311
327,1716
327,4174
334,397
334,6114
335,687
347,757
347,409
350,536
350,6122
354,318
354,588
354,6947
354,834
354,2021
354,2694
354,3363
354,2039
354,6282
354,2048
354,1173
354,787
354,4834
354,6052
354,1069
354,4744
354,2697
354,717
354,1110
354,607
354,2105
354,2781
354,4972
354,304
354,6289
354,5898
354,3352
354,445
354,575
354,4806
354,812
354,6906
354,4932
354,4527
354,4525
354,5003
354,6259
354,2089
354,2643
354,2673
354,3353
354,5848
354,4603
354,4705
354,4531
354,4735
354,4530
354,2686
354,2692
354,4934
354,5804
354,6595
354,6207
354,4493
354,2795
354,3274
354,5297
354,1115
354,2279
354,5911
354,2204
354,3366
354,6096
354,1114
375,724
375,6235
376,527
376,5316
376,5983
376,2289
380,4494
380,552
380,722
380,242
381,6115
381,598
384,697
384,4470
384,4527
384,4531
390,1241
390,6120
390,6191
390,918
390,6215
390,3503
390,1239
390,108
390,5499
390,3475
390,2799
390,797
390,124
390,1217
390,1223
390,1231
390,3483
390,3426
390,3423
390,3433
395,540
395,4852
395,4906
395,2688
395,5928
395,4882
395,4972
395,2069
397,334
408,660
409,347
409,2369
409,3635
409,5181
409,3646
409,1262
409,2887
409,2888
409,1259
409,3323
409,1645
409,2217
409,3561
409,3557
409,745
409,5269
410,6213
410,593
412,846
413,744
413,419
413,3353
413,4513
415,1678
415,3018
415,14
419,6148
419,413
419,744
420,2627
420,1782
420,3332
420,1875
420,4423
420,1805
420,4434
420,3040
420,5776
420,1683
420,6393
420,4196
420,1684
420,5713
420,4198
420,5756
420,4234
420,4170
420,1151
420,3020
420,5704
420,5711
420,4114
420,3317
420,6205
420,4344
420,6797
420,6805
420,6385
420,6253
420,4351
420,2513
420,4045
420,5210
420,5376
420,4205
420,2297
420,1636
420,997
420,1534
420,6029
420,4258
420,2492
420,1648
420,2503
420,5642
420,2188
420,1009
420,990
420,2943
420,2961
420,3929
420,2966
420,1445
420,6039
420,509
420,3846
420,1486
420,5620
420,6344
420,1409
420,1427
420,3816
420,5604
420,5590
420,1344
420,2390
420,1315
433,3970
433,6183
433,4245
445,2697
445,717
445,5003
445,2089
445,4932
445,6947
445,3363
445,2039
445,2048
445,1173
445,1110
445,588
445,2105
445,2781
445,4972
445,354
445,834
445,2021
445,2694
445,6282
445,787
445,4834
445,6052
445,1069
445,4744
445,607
445,304
445,6289
445,5898
445,3352
445,575
445,4806
445,812
445,6906
445,4527
445,4525
445,6259
445,2643
445,2673
445,3353
445,5848
445,4603
445,4705
445,4531
445,4735
445,4530
445,2686
445,2692
445,4934
445,5804
445,6595
445,6207
445,4493
445,2795
445,3274
445,5297
445,1115
445,2279
445,5911
445,2204
445,3366
445,6096
445,1114
447,6194
447,647
452,6048
452,722
456,753
456,1974
456,4802
456,734
456,1885
456,755
456,776
456,2252
456,2253
456,5868
456,5867
456,1939
456,4416
464,6165
464,2569
464,5776
473,6971
473,40
473,6608
473,6208
473,3298
491,513
491,6161
496,528
496,797
500,740
509,542
509,6039
509,990
509,1486
509,2966
509,6344
509,1534
509,2943
509,5620
509,2961
509,3929
509,2492
509,1445
509,997
509,3846
509,1409
509,1427
509,3816
509,2188
509,2513
509,4045
509,5604
509,5590
509,4114
509,6029
509,2297
509,5210
509,1636
509,6385
509,1648
509,2503
509,5642
509,1009
509,6805
509,1344
509,6797
509,2390
509,5704
509,1315
509,6393
509,5713
509,4198
509,5756
509,5376
509,4196
509,1683
509,1151
509,4205
509,1684
509,5711
509,3317
509,4258
509,4234
509,4170
509,3020
509,6253
509,6205
509,4344
509,4351
509,5776
509,4434
509,3040
509,1782
509,3332
509,4423
509,1805
509,2627
509,420
509,1875
511,285
511,675
511,124
513,491
513,579
515,317
515,6152
516,2869
516,3491
516,3576
516,5269
516,5525
516,5260
516,6170
516,6643
516,3474
521,607
521,632
527,376
527,5983
527,5316
527,2289
528,496
536,350
536,646
540,592
540,395
542,509
543,655
543,4680
543,5861
543,5367
552,4494
552,722
552,242
552,380
574,755
574,598
575,1069
575,6052
575,3352
575,4527
575,787
575,834
575,2021
575,812
575,4531
575,4530
575,6282
575,4834
575,4744
575,2673
575,3353
575,5848
575,4525
575,607
575,6259
575,4806
575,4603
575,4705
575,6906
575,304
575,6289
575,4735
575,5898
575,588
575,2694
575,4932
575,2643
575,6947
575,354
575,2686
575,3363
575,5804
575,2039
575,2048
575,1173
575,2692
575,4934
575,2697
575,717
575,1110
575,2105
575,2781
575,4972
575,4493
575,445
575,6595
575,6207
575,5003
575,2089
575,2795
575,3274
575,5297
575,1115
575,2279
575,5911
575,2204
575,3366
575,6096
575,1114
579,513
579,5574
579,6214
579,2393
579,3746
579,5575
579,1332
579,2409
579,3762
579,2326
579,6325
579,3786
579,3796
579,1419
579,3826
579,2320
579,947
588,6947
588,354
588,834
588,2021
588,2694
588,3363
588,6282
588,2039
588,2048
588,787
588,1173
588,4834
588,6052
588,1069
588,4744
588,607
588,2697
588,717
588,1110
588,304
588,6289
588,2105
588,2781
588,4972
588,5898
588,3352
588,575
588,445
588,4806
588,812
588,6906
588,4932
588,4527
588,4525
588,6259
588,5003
588,2643
588,2089
588,2673
588,3353
588,5848
588,4603
588,4705
588,4531
588,4735
588,4530
588,2686
588,2692
588,4934
588,5804
588,6595
588,6207
588,4493
588,2795
588,3274
588,5297
588,1115
588,2279
588,5911
588,2204
588,3366
588,6096
588,1114
591,6133
591,5680
591,934
591,4
591,1290
591,2896
591,6016
591,1315
591,3576
591,2223
591,5527
592,540
592,690
593,740
593,410
598,381
598,574
607,521
607,4744
607,304
607,6289
607,6282
607,5898
607,834
607,6906
607,3352
607,2021
607,812
607,2643
607,4525
607,575
607,1069
607,787
607,6259
607,6052
607,4834
607,4527
607,588
607,2694
607,6947
607,354
607,4806
607,4531
607,4530
607,4932
607,2673
607,3353
607,5848
607,4603
607,4705
607,3363
607,4735
607,2039
607,2048
607,1173
607,2697
607,717
607,1110
607,2105
607,2781
607,4972
607,2686
607,445
607,2692
607,4934
607,5804
607,5003
607,2089
607,4493
607,6595
607,6207
607,2795
607,3274
607,5297
607,1115
607,2279
607,5911
607,2204
607,3366
607,6096
607,1114
617,6187
617,6126
617,776
617,641
620,6376
620,5683
620,4032
620,2530
620,5668
620,1609
620,6749
620,3806
620,3914
620,1545
620,2969
620,789
620,237
620,6240
620,5609
620,3808
620,6015
620,3796
620,3814
620,3795
620,2911
620,2504
620,5334
620,2910
620,2900
620,2486
620,5588
620,2409
620,4101
620,900
620,947
632,521
633,25
633,3630
633,3637
633,3635
641,666
641,776
641,617
641,6126
642,6168
642,2423
642,1456
642,1404
642,1465
642,3846
642,5331
642,1453
642,6545
642,1483
642,2457
642,1498
642,2950
642,3911
642,1512
642,2956
642,2965
642,2964
642,5606
642,2477
642,5623
642,6365
642,982
642,3925
642,3967
646,536
646,666
647,447
647,6194
650,725
650,2395
650,1348
655,543
655,6197
656,811
656,717
660,408
660,725
666,641
666,646
673,6114
673,744
675,124
675,511
675,285
687,335
687,2390
687,5591
687,2427
687,1409
687,955
687,5590
687,2896
690,592
697,384
717,2697
717,445
717,5003
717,2089
717,656
717,4932
717,6947
717,3363
717,2039
717,2048
717,1173
717,1110
717,588
717,2105
717,2781
717,4972
717,354
717,834
717,2021
717,2694
717,6282
717,787
717,4834
717,6052
717,1069
717,4744
717,607
717,304
717,6289
717,5898
717,3352
717,575
717,4806
717,812
717,6906
717,4527
717,4525
717,6259
717,2643
717,2673
717,3353
717,5848
717,4603
717,4705
717,4531
717,4735
717,4530
717,2686
717,2692
717,4934
717,5804
717,6595
717,6207
717,4493
717,2795
717,3274
717,5297
717,1115
717,2279
717,5911
717,2204
717,3366
717,6096
717,1114
722,6048
722,452
722,242
722,552
722,4494
722,380
724,375
724,6235
725,650
725,660
734,846
734,1974
734,4802
734,456
734,1885
734,2252
734,2253
734,755
734,776
734,5868
734,5867
734,1939
734,4416
740,500
740,593
744,413
744,673
744,419
745,5269
745,3557
745,2217
745,1259
745,3561
745,1645
745,3323
745,1262
745,2887
745,2888
745,3635
745,409
745,2369
745,5181
745,3646
753,456
755,574
755,4802
755,1974
755,734
755,456
755,776
755,1885
755,2252
755,2253
755,5868
755,5867
755,1939
755,4416
757,347
758,311
758,190
758,162
776,617
776,641
776,6126
776,4802
776,1974
776,734
776,456
776,755
776,1885
776,2252
776,2253
776,5868
776,5867
776,1939
776,4416
779,79
787,6052
787,1069
787,4527
787,4834
787,4806
787,2673
787,3353
787,5848
787,575
787,834
787,4603
787,4705
787,2021
787,3352
787,4531
787,4735
787,4932
787,6282
787,4744
787,607
787,588
787,2694
787,812
787,4530
787,304
787,6289
787,5898
787,6947
787,4525
787,2686
787,6259
787,6906
787,354
787,2643
787,3363
787,2692
787,4934
787,2039
787,2048
787,1173
787,6595
787,6207
787,2697
787,717
787,1110
787,2105
787,2781
787,4972
787,5804
787,445
787,5003
787,2089
787,4493
787,2795
787,3274
787,5297
787,1115
787,2279
787,5911
787,2204
787,3366
787,6096
787,1114
789,237
789,6749
789,3806
789,1609
789,4032
789,3914
789,1545
789,2969
789,6240
789,5609
789,6376
789,3808
789,6015
789,5683
789,3796
789,3814
789,3795
789,2911
789,2504
789,5334
789,2530
789,2910
789,2900
789,5668
789,2486
789,5588
789,620
789,2409
789,4101
789,900
789,947
797,496
797,3475
797,124
797,1217
797,6215
797,1223
797,3483
797,918
797,3503
797,390
797,1241
797,6120
797,1239
797,108
797,2799
797,5499
797,1231
797,3426
797,3423
797,3433
811,656
812,844
812,4525
812,3352
812,6259
812,4744
812,4527
812,2643
812,575
812,1069
812,6906
812,607
812,834
812,6282
812,6052
812,2021
812,787
812,4531
812,4530
812,2673
812,304
812,6289
812,3353
812,5848
812,5898
812,4603
812,4834
812,588
812,4705
812,2694
812,4735
812,6947
812,4806
812,354
812,4932
812,2686
812,3363
812,5804
812,2039
812,2048
812,1173
812,2697
812,717
812,1110
812,2105
812,2781
812,4972
812,4934
812,4493
812,445
812,2692
812,6595
812,6207
812,5003
812,2089
812,2795
812,3274
812,5297
812,1115
812,2279
812,5911
812,2204
812,3366
812,6096
812,1114
817,3282
817,5137
817,6111
823,4297
823,66
823,5401
823,5709
823,4402
827,1813
827,4556
827,6054
827,6088
828,3327
828,6174
828,197
828,6209
828,5137
834,2021
834,6282
834,588
834,2694
834,4744
834,304
834,6289
834,5898
834,607
834,6947
834,787
834,6052
834,1069
834,3352
834,354
834,575
834,4834
834,812
834,6906
834,4525
834,4806
834,6259
834,2643
834,4527
834,4932
834,3363
834,2039
834,2048
834,2673
834,1173
834,3353
834,5848
834,4531
834,4530
834,2697
834,717
834,1110
834,4603
834,2105
834,2781
834,4972
834,4705
834,4735
834,445
834,5003
834,2089
834,2686
834,2692
834,4934
834,5804
834,6595
834,6207
834,4493
834,2795
834,3274
834,5297
834,1115
834,2279
834,5911
834,2204
834,3366
834,6096
834,1114
844,6189
844,812
846,734
846,412
847,212
847,6180
847,3366
900,1370
900,2911
900,2409
900,947
900,2900
900,4101
900,5334
900,2910
900,6015
900,5588
900,3796
900,3814
900,3795
900,3808
900,5609
900,2969
900,3914
900,2486
900,1545
900,6240
900,1609
900,4032
900,6749
900,2504
900,3806
900,789
900,237
900,6376
900,5683
900,2530
900,5668
900,620
905,2209
905,5254
905,1203
905,2342
918,2353
918,390
918,1241
918,6120
918,6215
918,3503
918,1239
918,108
918,5499
918,3475
918,2799
918,797
918,124
918,1217
918,1223
918,1231
918,3483
918,3426
918,3423
918,3433
930,931
930,6383
931,930
931,2301
934,4
934,1290
934,2896
934,591
934,6016
934,1315
934,5680
934,3576
934,2223
934,5527
947,2911
947,900
947,2409
947,3796
947,3826
947,2900
947,4101
947,5334
947,2326
947,3762
947,2910
947,6015
947,5588
947,3814
947,3795
947,3808
947,5609
947,6325
947,3786
947,1419
947,2969
947,3746
947,2320
947,3914
947,1332
947,579
947,2486
947,1545
947,5575
947,6240
947,2393
947,5574
947,6214
947,1609
947,4032
947,6749
947,2504
947,3806
947,789
947,237
947,6376
947,5683
947,2530
947,5668
947,620
955,1413
955,2427
955,1409
955,2390
955,5591
955,5590
955,687
955,2896
957,2430
957,1442
982,2477
982,6365
982,5623
982,2964
982,2965
982,3911
982,3925
982,3967
982,1512
982,2956
982,1498
982,1483
982,2457
982,2950
982,3846
982,5331
982,1465
982,1453
982,6545
982,1456
982,5606
982,642
982,2423
982,1404
990,2503
990,5642
990,6039
990,509
990,1648
990,1486
990,2966
990,1009
990,2297
990,6344
990,1534
990,997
990,2513
990,2492
990,4045
990,2943
990,5620
990,2961
990,3929
990,4114
990,1445
990,6029
990,5210
990,3846
990,1636
990,1409
990,6385
990,1427
990,3816
990,2188
990,6805
990,5604
990,5590
990,6797
990,5704
990,1344
990,2390
990,6393
990,5713
990,4198
990,5756
990,5376
990,4196
990,1683
990,1151
990,4205
990,1684
990,5711
990,1315
990,3317
990,4258
990,4234
990,4170
990,3020
990,6253
990,6205
990,4344
990,4351
990,5776
990,4434
990,3040
990,1782
990,3332
990,4423
990,1805
990,2627
990,420
990,1875
997,2297
997,2492
997,2188
997,1534
997,2513
997,4045
997,4114
997,2943
997,6029
997,2961
997,3929
997,2966
997,1648
997,2503
997,5642
997,1445
997,1009
997,990
997,5210
997,6039
997,509
997,3846
997,1486
997,5620
997,1636
997,6385
997,6344
997,1409
997,1427
997,6805
997,3816
997,6797
997,5604
997,5590
997,5704
997,1344
997,6393
997,5713
997,4198
997,2390
997,5756
997,5376
997,4196
997,1683
997,1151
997,4205
997,1684
997,5711
997,3317
997,1315
997,4258
997,4234
997,4170
997,3020
997,6253
997,6205
997,4344
997,4351
997,5776
997,4434
997,3040
997,1782
997,3332
997,4423
997,1805
997,2627
997,420
997,1875
999,2503
999,1648
1009,1648
1009,2503
1009,5642
1009,990
1009,2297
1009,4081
1009,1534
1009,5694
1009,997
1009,2513
1009,2492
1009,4045
1009,4114
1009,6557
1009,6029
1009,5210
1009,3030
1009,1636
1009,6385
1009,2188
1009,6805
1009,6797
1009,2943
1009,2961
1009,3929
1009,2966
1009,5704
1009,1445
1009,6039
1009,509
1009,3846
1009,1486
1009,5620
1009,6344
1009,1409
1009,1427
1009,3816
1009,5604
1009,5590
1009,6393
1009,5713
1009,4198
1009,5756
1009,5376
1009,4196
1009,1683
1009,1151
1009,4205
1009,1684
1009,5711
1009,3317
1009,4258
1009,4234
1009,4170
1009,1813
1009,3020
1009,1344
1009,6253
1009,2390
1009,6205
1009,4344
1009,4351
1009,1315
1009,5776
1009,4434
1009,3040
1009,1782
1009,3332
1009,4423
1009,1805
1009,2627
1009,420
1009,1875
1023,1699
1023,2569
1069,575
1069,787
1069,6052
1069,4834
1069,4806
1069,3352
1069,4527
1069,834
1069,2673
1069,2021
1069,3353
1069,5848
1069,812
1069,4531
1069,4932
1069,6282
1069,4530
1069,4744
1069,4603
1069,4525
1069,4705
1069,607
1069,6259
1069,4735
1069,588
1069,2694
1069,304
1069,6289
1069,6906
1069,5898
1069,6947
1069,354
1069,2643
1069,2686
1069,3363
1069,2692
1069,4934
1069,2039
1069,2048
1069,1173
1069,5804
1069,2697
1069,717
1069,1110
1069,2105
1069,2781
1069,4972
1069,445
1069,6595
1069,6207
1069,4493
1069,5003
1069,2089
1069,2795
1069,3274
1069,5297
1069,1115
1069,2279
1069,5911
1069,2204
1069,3366
1069,6096
1069,1114
1110,4972
1110,2707
1110,2039
1110,2048
1110,1173
1110,2105
1110,2781
1110,6947
1110,3363
1110,2697
1110,717
1110,588
1110,445
1110,354
1110,834
1110,2021
1110,5003
1110,2089
1110,4932
1110,2694
1110,6282
1110,787
1110,4834
1110,6052
1110,1069
1110,4744
1110,607
1110,304
1110,6289
1110,5898
1110,3352
1110,575
1110,4806
1110,812
1110,6906
1110,4527
1110,4525
1110,6259
1110,2643
1110,2673
1110,3353
1110,5848
1110,4603
1110,4705
1110,4531
1110,4735
1110,4530
1110,2686
1110,2692
1110,4934
1110,5804
1110,6595
1110,6207
1110,4493
1110,2795
1110,3274
1110,5297
1110,1115
1110,2279
1110,5911
1110,2204
1110,3366
1110,6096
1110,1114
1114,2089
1114,3366
1114,6096
1114,5003
1114,2795
1114,3274
1114,5297
1114,1115
1114,2279
1114,5911
1114,4934
1114,2204
1114,2686
1114,4735
1114,4834
1114,2673
1114,4705
1114,6595
1114,6207
1114,5848
1114,4932
1114,4527
1114,3353
1114,4603
1114,787
1114,6052
1114,1069
1114,4531
1114,3352
1114,575
1114,2692
1114,4806
1114,4530
1114,812
1114,834
1114,4525
1114,6259
1114,2021
1114,4744
1114,6282
1114,6906
1114,607
1114,588
1114,2694
1114,2643
1114,304
1114,6289
1114,5898
1114,6947
1114,354
1114,5804
1114,3363
1114,2039
1114,2048
1114,1173
1114,4493
1114,2697
1114,717
1114,1110
1114,2105
1114,2781
1114,4972
1114,445
1115,2279
1115,2272
1115,2795
1115,5003
1115,3274
1115,5297
1115,5911
1115,4934
1115,2204
1115,2686
1115,3366
1115,6096
1115,4735
1115,4834
1115,2673
1115,1114
1115,4705
1115,6595
1115,6207
1115,5848
1115,4932
