nodeID_from,nodeID_to
1,5
2,31
3,143
4,18
5,27
6,284
7,286
8,67
9,133
10,137
11,96
12,250
13,81
14,311
15,99
16,3
17,105
18,32
19,124
20,312
21,118
22,313
23,94
23,146
24,314
25,153
26,35
27,46
28,61
29,30
30,297
31,39
32,2
33,1
34,26
35,40
36,4
37,36
38,45
39,41
40,33
41,34
42,169
43,38
44,48
45,44
46,43
47,42
48,47
49,51
50,53
51,268
52,150
53,49
54,151
55,176
52,179
56,315
57,152
58,199
59,7
60,62
61,63
62,64
63,60
64,57
65,66
66,306
67,241
68,103
69,122
70,316
71,93
72,89
73,317
74,167
75,145
76,318
77,140
78,80
79,121
80,115
81,149
82,19
83,144
84,134
85,117
86,313
87,71
88,37
89,224
90,116
91,88
92,148
93,6
94,108
95,315
96,13
97,98
98,319
99,35
100,130
101,102
102,320
103,321
104,79
17,104
105,106
106,68
107,10
108,20
109,200
110,24
111,12
112,109
113,9
114,132
115,136
116,129
117,120
118,22
119,86
52,73
95,69
120,119
121,213
122,77
123,322
15,76
124,107
125,126
126,21
127,138
128,78
129,82
130,101
131,114
132,141
133,139
134,92
135,144
136,127
137,87
138,83
139,131
140,97
141,142
142,14
143,100
144,125
128,123
145,147
146,53
147,90
148,85
11,113
149,135
150,6
151,56
152,55
153,315
154,74
151,16
155,158
156,174
157,156
158,323
159,193
160,324
161,185
162,269
163,162
164,187
70,72
165,240
166,194
167,157
168,169
169,159
170,243
171,70
172,223
173,177
174,228
175,154
176,192
177,186
178,213
179,160
180,325
181,182
182,164
183,197
184,166
185,227
186,219
187,183
188,195
189,220
190,231
191,244
192,326
193,25
194,180
195,198
196,245
197,184
198,58
199,271
200,257
201,247
202,203
203,207
204,208
205,212
206,253
207,204
208,211
209,252
210,249
211,327
212,217
213,189
214,155
215,216
216,111
217,255
218,112
219,202
220,205
221,230
222,171
223,84
224,242
176,238
225,226
226,178
227,229
228,170
229,190
230,235
231,173
232,221
233,239
234,222
235,218
236,191
237,236
238,196
239,172
240,234
241,233
242,225
243,165
244,232
245,175
246,251
247,246
248,254
249,209
250,201
251,237
252,248
253,161
254,327
255,206
256,210
257,256
258,274
259,260
260,305
261,262
168,302
262,300
263,59
264,324
265,282
181,308
266,301
267,264
268,309
269,65
270,303
271,259
272,325
273,299
274,287
275,272
276,291
277,283
278,277
279,278
280,275
281,258
282,281
283,296
284,307
285,276
286,267
287,270
288,298
289,54
290,293
291,290
292,279
293,280
294,214
295,271
296,285
297,310
298,50
299,266
300,265
188,294
301,304
302,29
303,263
304,288
305,262
241,261
306,8
307,273
308,295
309,289
310,326
