nodeID_from,nodeID_to
1,239
2,6
3,38
4,280
5,109
6,44
7,126
8,9
9,39
10,16
11,18
12,11
13,10
14,13
15,19
16,17
17,291
18,14
19,207
20,12
21,321
22,21
23,22
24,23
25,26
26,24
27,25
28,29
29,33
30,230
31,34
32,31
33,32
34,205
35,41
36,42
28,43
37,8
38,2
39,45
40,35
41,3
42,40
43,36
44,37
45,322
46,78
47,54
48,55
49,52
50,58
51,50
52,51
53,322
54,48
55,56
56,57
57,46
58,47
59,323
60,61
61,63
62,80
63,151
64,53
65,64
66,73
67,68
68,65
69,224
70,77
71,62
72,71
73,72
74,66
75,74
76,79
77,270
78,76
79,75
80,70
81,324
82,81
83,78
84,83
85,84
86,98
87,276
88,222
89,93
90,267
91,90
92,279
93,257
94,96
95,87
96,97
97,86
98,99
99,117
100,116
101,115
102,104
103,114
104,103
105,106
106,110
107,105
108,111
109,201
110,108
111,5
112,15
113,118
114,113
115,198
116,101
117,100
118,107
119,200
120,112
121,123
122,121
123,325
124,134
125,124
126,125
127,7
128,127
129,128
130,133
131,130
132,131
133,129
134,122
135,196
136,138
137,322
138,137
139,326
140,139
141,221
142,143
143,224
144,145
145,291
146,180
147,148
140,283
148,261
149,150
150,258
151,319
152,158
153,313
154,153
155,228
156,191
157,152
158,155
159,140
160,278
161,160
162,163
163,202
164,162
165,166
166,28
167,175
168,167
169,171
170,282
171,177
172,176
173,172
174,173
151,174
175,165
176,169
177,178
178,168
179,234
180,209
181,30
182,233
183,184
184,223
185,225
186,187
187,188
188,203
189,243
190,227
191,194
192,229
193,192
194,182
195,190
196,164
197,327
198,206
199,321
49,323
82,85
200,102
201,120
202,170
203,328
204,20
205,199
206,119
207,204
208,329
209,193
210,156
211,219
212,92
213,237
214,241
215,217
216,249
217,189
218,1
219,179
220,4
221,287
222,262
223,186
185,253
224,288
225,330
226,246
227,240
228,226
229,181
230,250
231,232
232,210
233,245
234,248
235,251
236,235
237,236
238,213
239,238
240,218
241,195
242,247
243,242
244,216
245,208
246,146
247,214
248,270
249,215
250,231
251,211
252,244
253,183
254,329
255,144
256,255
257,293
185,284
258,132
259,149
260,259
261,266
262,95
263,296
264,263
265,147
266,260
267,264
268,277
269,281
270,269
271,161
272,271
273,272
274,275
275,273
252,274
276,89
277,265
252,328
278,159
279,91
197,256
280,308
281,254
282,310
283,268
284,294
285,297
286,301
287,286
288,298
289,290
290,299
291,289
292,327
293,295
294,300
295,292
296,88
297,69
298,135
299,285
300,212
301,331
302,303
303,141
304,305
305,302
306,307
307,304
132,317
308,320
309,312
310,311
311,306
312,228
313,157
314,154
315,318
316,315
270,316
317,60
318,314
319,220
320,309
