nodeID_from,nodeID_to
12,96
12,1828
12,310
12,1546
12,1664
12,1231
12,1711
19,33
19,1431
29,1397
29,1748
29,1194
29,1637
29,1834
29,1524
29,1035
29,1331
29,1424
29,1067
29,1707
29,1423
29,807
29,1241
29,1322
29,364
29,1243
29,1725
29,1061
29,648
29,686
29,562
29,40
29,998
29,246
29,953
29,1012
29,1671
29,105
29,73
29,847
29,1345
29,1338
29,988
29,1056
29,1739
29,1491
29,994
29,1105
29,177
29,1411
29,1647
29,602
29,1572
29,705
29,992
29,1599
29,832
29,1432
29,1016
29,852
29,1205
29,730
29,1467
29,551
29,413
29,1728
29,1508
29,1184
29,1726
29,1425
29,1370
29,729
29,1429
29,1747
29,1741
29,270
29,1627
29,1562
29,1350
29,1352
29,1706
29,760
29,1236
29,1827
29,1668
29,331
29,612
29,1132
29,661
29,1070
29,1733
29,1578
29,1353
29,594
29,889
32,1552
32,1635
32,1737
32,915
33,1431
33,19
33,344
33,734
33,1676
37,80
40,364
40,1012
40,847
40,730
40,551
40,1067
40,1647
40,1572
40,1599
40,1834
40,29
40,1194
40,1637
40,1748
40,1467
40,953
40,807
40,413
40,1524
40,1397
40,1508
40,1035
40,1184
40,1726
40,1425
40,1707
40,1370
40,1241
40,729
40,832
40,1429
40,1331
40,1424
40,1056
40,1423
40,1747
40,1741
40,1243
40,1725
40,648
40,686
40,562
40,1105
40,1205
40,998
40,1322
40,177
40,1016
40,246
40,1671
40,1061
40,270
40,1627
40,105
40,988
40,1491
40,1739
40,73
40,1345
40,1338
40,1562
40,1350
40,994
40,1411
40,602
40,705
40,992
40,1352
40,1432
40,852
40,1706
40,1728
40,760
40,1236
40,1827
40,1668
40,331
40,612
40,1132
40,661
40,1070
40,1733
40,1578
40,1353
40,594
40,889
48,80
48,586
48,726
48,889
48,1365
48,1743
48,1353
51,1338
51,1365
51,103
51,866
52,1740
52,71
52,1396
52,1664
52,160
52,1745
52,1594
59,510
59,1744
59,320
59,1324
59,1359
59,212
59,1633
59,645
59,333
59,1518
59,859
59,739
59,1326
59,1332
59,283
59,721
59,1541
59,1721
61,710
61,1615
61,389
61,1203
61,985
61,1560
61,336
61,1594
61,1355
61,1326
63,96
71,52
73,1338
73,1322
73,1423
73,1061
73,1345
73,1707
73,1491
73,705
73,992
73,1432
73,1424
73,1725
73,994
73,1411
73,1728
73,602
73,1194
73,1035
73,1397
73,29
73,1834
73,1331
73,832
73,1016
73,852
73,1205
73,1067
73,729
73,1184
73,1637
73,1370
73,1748
73,364
73,1467
73,1524
73,1599
73,40
73,807
73,1241
73,953
73,1012
73,1647
73,270
73,1562
73,1572
73,1350
73,1508
73,1429
73,1726
73,1243
73,413
73,648
73,686
73,562
73,847
73,998
73,246
73,1056
73,1671
73,1352
73,105
73,1105
73,1627
73,1747
73,1741
73,1425
73,177
73,1706
73,988
73,1739
73,760
73,1236
73,730
73,1827
73,1668
73,551
73,331
73,612
73,1132
73,661
73,1070
73,1733
73,1578
73,1353
73,594
73,889
78,1706
78,1334
78,1440
78,1665
78,732
80,37
80,48
96,12
96,63
96,1828
96,1546
96,310
96,1664
96,1231
96,1711
103,1338
103,51
103,1365
103,866
105,1734
105,1671
105,562
105,648
105,1725
105,686
105,988
105,1739
105,1243
105,1241
105,246
105,1524
105,1707
105,807
105,998
105,29
105,1194
105,1637
105,1748
105,1067
105,953
105,1834
105,364
105,1397
105,1035
105,40
105,1056
105,1012
105,1331
105,1424
105,1105
105,1423
105,177
105,847
105,1322
105,1061
105,1647
105,1572
105,1599
105,73
105,1345
105,1338
105,730
105,1467
105,551
105,413
105,1491
105,1508
105,1184
105,1726
105,1425
105,994
105,1370
105,729
105,832
105,1429
105,1411
105,602
105,705
105,992
105,1747
105,1741
105,1432
105,1016
105,1205
105,852
105,1728
105,270
105,1627
105,1562
105,1350
105,1352
105,1706
105,760
105,1236
105,1827
105,1668
105,331
105,612
105,1132
105,661
105,1070
105,1733
105,1578
105,1353
105,594
105,889
160,908
160,1664
160,1740
160,1745
160,52
160,1396
160,1594
163,389
163,343
177,1105
177,757
177,364
177,1067
177,1056
177,400
177,953
177,807
177,1524
177,1707
177,1834
177,1241
177,29
177,1194
177,1637
177,40
177,1748
177,1012
177,1397
177,1035
177,1243
177,1725
177,998
177,648
177,686
177,562
177,847
177,246
177,1331
177,1424
177,1671
177,1423
177,105
177,1322
177,988
177,1647
177,1739
177,1061
177,1572
177,1599
177,730
177,1467
177,551
177,413
177,1508
177,1184
177,1726
177,1425
177,73
177,1370
177,1345
177,1338
177,729
177,832
177,1429
177,1491
177,994
177,1747
177,1741
177,1205
177,1411
177,1016
177,602
177,705
177,992
177,270
177,1627
177,1432
177,852
177,1728
177,1562
177,1350
177,1352
177,1706
177,760
177,1236
177,1827
177,1668
177,331
177,612
177,1132
177,661
177,1070
177,1733
177,1578
177,1353
177,594
177,889
203,634
212,320
212,645
212,344
212,586
212,510
212,59
212,1744
212,1324
212,1359
212,1633
212,333
212,1518
212,859
212,739
212,1326
212,1332
212,283
212,721
212,1541
212,1721
228,587
228,1531
228,1350
246,538
246,1163
246,648
246,1243
246,1107
246,1241
246,1725
246,686
246,562
246,807
246,998
246,1524
246,1707
246,1671
246,105
246,29
246,1194
246,1637
246,988
246,1748
246,1739
246,1067
246,953
246,1834
246,364
246,1397
246,1035
246,40
246,1056
246,1012
246,1331
246,1424
246,1105
246,1423
246,177
246,847
246,1322
246,1061
246,1647
246,1572
246,1599
246,73
246,1345
246,1338
246,730
246,1467
246,551
246,413
246,1491
246,1508
246,1184
246,1726
246,1425
246,994
246,1370
246,729
246,832
246,1429
246,1411
246,602
246,705
246,992
246,1747
246,1741
246,1432
246,1016
246,1205
246,852
246,1728
246,270
246,1627
246,1562
246,1350
246,1352
246,1706
246,760
246,1236
246,1827
246,1668
246,331
246,612
246,1132
246,661
246,1070
246,1733
246,1578
246,1353
246,594
246,889
270,1627
270,1370
270,1747
270,1741
270,729
270,413
270,1508
270,1467
270,1016
270,1205
270,1572
270,1599
270,1562
270,1350
270,1647
270,1184
270,1352
270,1012
270,1491
270,832
270,1429
270,1726
270,1706
270,847
270,1411
270,1425
270,1331
270,1827
270,331
270,760
270,1236
270,40
270,1668
270,612
270,364
270,1061
270,1132
270,994
270,730
270,551
270,1322
270,1424
270,1067
270,661
270,1345
270,1070
270,1423
270,73
270,1338
270,1733
270,852
270,1834
270,602
270,29
270,1194
270,1637
270,1035
270,1397
270,1748
270,1707
270,953
270,807
270,705
270,992
270,1524
270,1578
270,1432
270,1353
270,1725
270,1241
270,594
270,1728
270,889
270,1056
270,1243
270,648
270,686
270,562
270,1105
270,998
270,177
270,246
270,1671
270,105
270,988
270,1739
283,739
283,900
283,721
283,1518
283,859
283,1541
283,1324
283,1744
283,1359
283,1633
283,645
283,333
283,59
283,510
283,1326
283,1332
283,320
283,212
283,1721
298,734
298,686
298,1169
310,710
310,12
310,96
310,1828
310,1546
310,1664
310,1231
310,1711
320,212
320,510
320,59
320,1744
320,1324
320,1359
320,1633
320,645
320,333
320,1518
320,859
320,739
320,1326
320,1332
320,283
320,721
320,1541
320,1721
331,1827
331,1706
331,612
331,1352
331,1627
331,1016
331,270
331,1205
331,1562
331,729
331,1350
331,1184
331,1370
331,1467
331,1491
331,1599
331,1411
331,1747
331,1741
331,1647
331,1572
331,760
331,1236
331,1508
331,832
331,1429
331,1726
331,1668
331,413
331,1012
331,1331
331,1061
331,847
331,1132
331,1425
331,994
331,1322
331,1424
331,661
331,1345
331,1070
331,40
331,1423
331,73
331,1338
331,364
331,1733
331,852
331,602
331,730
331,1035
331,1397
331,551
331,1707
331,1067
331,705
331,992
331,1578
331,29
331,1834
331,1432
331,1353
331,1725
331,594
331,1728
331,889
331,1194
331,1637
331,1748
331,953
331,807
331,1524
331,1241
331,1056
331,1243
331,648
331,686
331,562
331,1105
331,998
331,177
331,246
331,1671
331,105
331,988
331,1739
333,645
333,1676
333,1057
333,1744
333,1324
333,1359
333,1633
333,1600
333,1518
333,59
333,510
333,1146
333,859
333,739
333,1326
333,1332
333,283
333,320
333,212
333,721
333,1541
333,1721
336,985
336,1615
336,389
336,1560
336,1355
336,1203
336,810
336,1594
336,708
336,1326
336,1220
336,1076
336,61
336,710
343,163
343,1615
343,1698
343,1731
343,983
343,810
343,1414
343,1470
343,1169
344,586
344,33
344,734
344,212
344,1676
344,645
350,1070
350,1132
350,1732
364,40
364,1012
364,1067
364,1105
364,177
364,847
364,1834
364,29
364,1194
364,1637
364,1748
364,953
364,807
364,1647
364,1524
364,1397
364,1572
364,1035
364,1599
364,1707
364,1241
364,730
364,1467
364,551
364,413
364,1331
364,1424
364,1056
364,1508
364,1423
364,1184
364,1726
364,1425
364,1243
364,1725
364,1370
364,648
364,686
364,562
364,729
364,998
364,1322
364,832
364,1429
364,246
364,1671
364,1061
364,1747
364,1741
364,105
364,1205
364,1016
364,988
364,1739
364,270
364,1627
364,73
364,1345
364,1338
364,1491
364,994
364,1411
364,602
364,1562
364,705
364,992
364,1350
364,1432
364,852
364,1728
364,1352
364,1706
364,760
364,1236
364,1827
364,1668
364,331
364,612
364,1132
364,661
364,1070
364,1733
364,1578
364,1353
364,594
364,889
389,163
389,1615
389,1203
389,985
389,1560
389,336
389,1594
389,1355
389,61
389,1326
389,710
400,1056
400,998
400,953
400,757
400,1107
400,1735
400,177
400,1771
413,1508
413,1467
413,1647
413,1572
413,1747
413,1741
413,1599
413,1370
413,847
413,270
413,1627
413,1184
413,729
413,1012
413,832
413,1429
413,1726
413,1425
413,1331
413,1205
