nodeID_from,nodeID_to
8,10571
8,683
8,6849
13,2855
13,519
13,10424
13,481
13,607
13,5694
13,11368
13,4221
13,1870
13,740
13,4075
13,7670
13,794
13,9405
13,10102
13,1431
13,7312
13,10519
13,9953
13,5010
13,11738
13,9765
13,7189
13,10557
13,6861
13,3670
13,4096
13,4953
13,5365
13,837
13,9135
13,1875
15,397
15,203
15,9735
15,6028
15,8856
15,3309
15,5668
15,6827
15,17
15,2934
15,5652
15,6692
15,6841
17,5668
17,3309
17,203
17,2934
17,9735
17,8856
17,6028
17,15
17,6827
17,5652
17,6692
17,6841
20,244
23,11532
23,3751
23,465
23,10608
23,2464
23,1489
23,11145
24,362
24,11596
24,11627
24,2807
24,4002
37,6841
37,11210
42,11570
42,6368
42,5209
42,9941
42,6307
42,8880
42,10642
42,5624
42,3142
42,379
42,9686
42,470
42,10779
42,11562
42,9745
42,7956
42,543
42,1541
42,10024
42,4208
42,5697
42,9142
42,7106
42,3869
42,9849
42,7732
42,9862
42,3948
42,2870
42,11047
42,10290
42,6328
42,12059
42,11573
44,2178
44,2985
44,5257
44,2059
44,8720
44,6847
44,9762
44,9580
44,11483
44,10555
44,7790
44,8777
44,10656
44,3903
44,12254
44,8706
44,516
44,6828
44,600
44,5212
44,1800
44,753
44,5314
44,9717
44,10587
44,8525
44,7169
44,11041
44,3136
44,10147
44,11862
44,11622
44,1618
44,11394
44,4795
44,5747
46,4876
46,11615
46,2252
47,5209
47,8696
47,6368
47,1980
47,6823
47,4641
47,832
47,4859
47,10557
47,3670
47,6307
48,547
48,11609
59,5266
59,1771
60,284
60,5671
74,220
74,3054
77,6710
77,6847
77,10787
77,7381
77,7790
77,5115
77,11395
77,2430
77,4766
82,293
82,11605
82,473
82,4725
82,1645
82,2888
85,176
85,575
85,11548
86,555
89,11536
89,5317
89,8631
89,11472
99,369
99,7121
99,6948
99,6838
99,1706
99,939
99,331
99,6736
99,5164
99,4872
101,547
101,8473
101,12300
101,3189
101,4200
103,11448
103,11162
103,10725
103,11234
103,8521
106,6948
106,6229
