nodeID_from,nodeID_to
1,857
2,858
3,33
4,859
5,38
6,860
7,25
8,5
9,91
10,32
11,103
12,84
13,28
14,116
15,98
16,683
17,21
18,49
19,585
20,19
21,490
8,699
22,861
23,22
24,25
25,862
26,113
27,863
28,35
29,71
30,69
31,104
32,864
33,42
34,30
24,865
35,94
36,93
37,86
38,61
39,194
40,46
41,101
42,21
43,67
44,866
45,11
46,323
47,55
48,64
49,10
50,96
51,147
52,72
53,112
54,867
55,110
56,3
57,14
58,11
59,31
48,868
60,79
61,65
62,78
63,300
64,106
65,88
66,90
67,60
68,80
69,100
70,342
71,54
72,87
73,869
2,118
74,82
75,81
76,99
77,393
63,223
29,51
43,867
78,108
79,73
80,89
81,22
82,870
83,860
84,97
85,56
86,34
87,44
88,92
89,59
90,46
91,76
92,15
26,27
93,52
94,41
1,47
95,51
96,109
97,114
98,50
99,4
100,868
101,36
102,119
77,62
103,7
104,858
105,115
106,117
107,115
108,857
109,74
110,83
111,57
112,37
113,865
114,68
115,871
116,49
117,63
118,66
119,85
120,202
121,136
122,872
123,216
124,280
125,214
126,344
127,297
128,211
129,225
130,150
131,335
132,168
133,140
125,133
134,284
135,385
136,231
137,121
138,359
139,873
140,141
141,283
142,145
143,39
144,419
145,299
146,126
147,124
148,128
149,282
150,155
9,318
151,160
152,176
153,122
154,874
155,325
156,412
157,314
158,290
159,164
160,386
161,293
162,358
163,241
164,165
165,159
166,18
167,135
168,144
169,352
170,298
171,559
172,875
173,213
174,158
175,120
176,225
177,876
178,265
179,131
180,516
181,281
182,151
183,493
184,309
185,192
186,306
187,453
188,271
189,272
190,204
191,291
192,193
193,137
194,187
18,195
195,296
196,197
197,188
198,199
199,152
200,138
201,206
202,208
203,226
204,407
205,245
206,207
207,360
208,209
209,205
210,9
211,250
212,877
213,286
214,288
215,191
216,285
217,878
218,303
219,879
220,369
221,227
217,374
222,301
223,232
224,295
225,289
226,221
227,294
228,877
229,230
230,880
231,881
232,882
233,387
234,269
235,378
236,883
178,880
237,883
238,313
239,184
240,345
241,347
242,336
243,381
244,321
245,441
228,275
246,735
247,434
248,396
249,270
250,146
251,377
233,266
252,451
253,251
254,445
255,331
256,162
257,190
258,626
259,365
260,439
261,167
262,330
263,185
264,329
265,415
266,380
267,392
268,211
269,448
270,401
271,222
272,348
273,258
274,884
275,229
276,885
154,542
277,170
278,40
279,454
280,253
281,430
282,123
283,210
284,283
284,210
139,134
285,302
286,874
287,322
288,161
289,371
290,317
291,203
292,886
293,886
294,887
295,887
296,165
297,277
298,129
299,125
300,888
301,373
302,127
303,149
292,218
304,881
305,212
306,885
307,8
45,276
308,882
309,164
310,239
311,244
312,257
313,355
314,393
315,180
316,431
317,328
318,440
261,370
319,337
320,333
321,353
322,402
323,305
316,422
274,198
324,186
325,242
326,219
327,424
328,279
329,244
330,428
179,368
331,372
332,446
333,404
334,263
335,130
336,142
337,332
186,889
338,831
339,246
340,447
341,382
342,254
233,450
343,409
344,163
345,200
346,143
347,255
348,890
349,891
350,169
351,13
352,455
353,148
354,459
355,339
356,389
357,427
358,157
359,166
360,375
361,435
362,259
363,248
364,405
365,249
366,383
367,278
368,406
369,247
234,890
370,356
371,892
372,888
373,878
374,220
375,893
376,315
377,423
252,894
378,267
379,891
380,397
381,390
382,237
383,391
384,334
