nodeID,nodeLabel,latitude,longitude,country_name,country_ISO3,Logical_Degree,Type
1,Stenløse,55.766456498022485,12.19009949999977,Denmark,DK,5,Station
2,Junction,56.58021549813139,8.555305499999802,Unknown,UNK,0,Junction
3,Junction,54.91617199789715,9.58653849999979,Unknown,UNK,0,Junction
4,Junction,55.78377899802485,12.368691499999787,Unknown,UNK,0,Junction
5,Junction,54.75764449787243,11.84493899999978,Unknown,UNK,0,Junction
6,Frederikssund,55.83407599803192,12.064744999999794,Denmark,DK,1,Station
7,Junction,56.542243998126594,8.287449999999787,Unknown,UNK,0,Junction
8,Junction,54.756198997872175,11.855349499999791,Unknown,UNK,0,Junction
9,Junction,55.71300499801492,12.554894499999788,Unknown,UNK,0,Junction
10,Junction,55.35497299796331,12.248877499999788,Unknown,UNK,0,Junction
11,Junction,56.346622498101155,8.35036699999978,Unknown,UNK,0,Junction
12,Thisted,56.952075998177854,8.689393999999801,Denmark,DK,1,Station
13,Junction,56.11664599807058,10.144716499999786,Unknown,UNK,0,Junction
14,Karise,55.30674349795621,12.194682999999793,Denmark,DK,2,Station
15,Junction,54.79622649787851,11.612761499999777,Unknown,UNK,0,Junction
16,Hirtshals,57.591396498253054,9.963016499999776,Denmark,DK,1,Station
17,Padborg,54.82243949788259,9.359877499999788,Denmark,DK,2,Station
18,Junction,55.44944399797711,12.184715999999781,Unknown,UNK,0,Junction
19,Junction,55.62944399800301,12.649019999999782,Unknown,UNK,0,Junction
20,Junction,55.63164849800335,12.639123999999782,Unknown,UNK,0,Junction
21,Junction,54.931098997899504,9.256438999999801,Unknown,UNK,0,Junction
22,Junction,57.45828949823797,10.530799999999797,Unknown,UNK,0,Junction
23,Junction,57.4784544982402,10.366676499999778,Unknown,UNK,0,Junction
24,Junction,56.544387998126815,8.283916499999808,Unknown,UNK,0,Junction
25,Junction,56.54381549812671,8.290677999999792,Unknown,UNK,0,Junction
26,Thyborøn,56.70027899814662,8.2078334999998,Denmark,DK,2,Station
27,Junction,56.70383449814704,8.213771999999778,Unknown,UNK,0,Junction
28,Mølleparken,56.07213949806458,10.155187999999786,Denmark,DK,4,Station
29,Junction,55.62597249800257,8.479760999999803,Unknown,UNK,0,Junction
30,Junction,55.84108349803288,11.57054599999978,Unknown,UNK,0,Junction
31,Junction,56.71369949814832,8.399093999999796,Unknown,UNK,0,Junction
32,Junction,55.32305149795864,12.366133499999787,Unknown,UNK,0,Junction
33,Junction,54.93548199790009,9.387511499999794,Unknown,UNK,0,Junction
34,Junction,55.84351749803321,11.573685499999776,Unknown,UNK,0,Junction
35,Junction,56.06919499806413,10.162755999999803,Unknown,UNK,0,Junction
36,Beder,56.057071498062555,10.198021999999774,Denmark,DK,2,Station
37,Junction,55.862494498035794,11.594472499999796,Unknown,UNK,0,Junction
38,Junction,54.759387997872686,11.84012199999978,Unknown,UNK,0,Junction
39,Junction,56.16399399807692,9.558340499999783,Unknown,UNK,0,Junction
40,Junction,56.452458498115014,8.61828649999979,Unknown,UNK,0,Junction
41,Junction,56.060218998063,10.19245999999979,Unknown,UNK,0,Junction
42,Junction,54.935294997900144,9.381005499999793,Unknown,UNK,0,Junction
43,Junction,55.616798498001245,8.326477999999785,Unknown,UNK,0,Junction
44,Parkvej,55.977226498051685,10.152099499999794,Denmark,DK,2,Station
45,Junction,56.34221649810057,8.344650499999803,Unknown,UNK,0,Junction
46,Junction,56.477637998118254,8.611143499999795,Unknown,UNK,0,Junction
47,Junction,55.76972149802291,12.1888734999998,Unknown,UNK,0,Junction
48,Junction,55.78515999802509,11.46892249999979,Unknown,UNK,0,Junction
49,Junction,55.3535009979631,12.228172499999797,Unknown,UNK,0,Junction
50,Maribo,54.77762199787559,11.501866499999785,Denmark,DK,2,Station
51,Junction,55.623912998002254,8.492533499999778,Unknown,UNK,0,Junction
52,Junction,56.02192699805772,10.193039499999793,Unknown,UNK,0,Junction
53,Nykøbing S,55.921565998043974,11.67384349999977,Denmark,DK,1,Station
54,Junction,55.623770998002236,8.461010999999786,Unknown,UNK,0,Junction
55,Junction,55.775523998023715,12.18683249999978,Unknown,UNK,0,Junction
56,Gråsten,54.91798399789743,9.592499499999803,Denmark,DK,3,Station
57,Junction,55.271888497951075,12.138527999999779,Unknown,UNK,0,Junction
58,Junction,56.36880099810411,8.44073799999978,Unknown,UNK,0,Junction
59,Junction,56.750434998152926,8.418021999999777,Unknown,UNK,0,Junction
60,Junction,55.62015899800173,8.2912474999998,Unknown,UNK,0,Junction
61,Øster Toreby,54.76009149787279,11.835996499999798,Denmark,DK,2,Station
62,Junction,55.68889599801148,12.4834069999998,Unknown,UNK,0,Junction
63,Junction,55.71230699801486,11.675444499999795,Unknown,UNK,0,Junction
64,Hørve,55.752761998020496,11.45738899999978,Denmark,DK,2,Station
65,Junction,54.79544849787842,11.664644999999783,Unknown,UNK,0,Junction
66,Junction,56.53963449812619,8.552571999999794,Unknown,UNK,0,Junction
67,Junction,55.618793498001565,8.295049499999811,Unknown,UNK,0,Junction
68,Junction,56.7607304981542,8.420615999999793,Unknown,UNK,0,Junction
69,Junction,55.82313149803039,11.5512334999998,Unknown,UNK,0,Junction
70,Junction,55.303409497955705,10.461071999999799,Unknown,UNK,0,Junction
71,Varde Vest,55.62456549800235,8.476307499999798,Denmark,DK,3,Station
72,Junction,56.005473998055514,10.1877164999998,Unknown,UNK,0,Junction
73,Oksbøl,55.62734999800279,8.283963999999802,Denmark,DK,2,Station
74,Junction,54.81059999788069,11.272477999999781,Unknown,UNK,0,Junction
75,Strandby,57.489712498241516,10.49009799999979,Denmark,DK,2,Station
76,Junction,55.779346998024266,12.381688999999799,Unknown,UNK,0,Junction
77,Junction,55.68625349801117,12.49696849999978,Unknown,UNK,0,Junction
78,Junction,55.69111249801181,12.4763709999998,Unknown,UNK,0,Junction
79,Junction,55.62491249800237,8.28486149999981,Unknown,UNK,0,Junction
80,Junction,56.758796498153984,8.420216499999782,Unknown,UNK,0,Junction
81,Junction,57.48901749824145,10.491460999999784,Unknown,UNK,0,Junction
82,Junction,54.833022997884235,11.149155499999777,Unknown,UNK,0,Junction
83,Junction,55.795480498026514,12.159351999999782,Unknown,UNK,0,Junction
84,Junction,56.88666899816988,8.523389999999784,Unknown,UNK,0,Junction
85,Junction,54.933059497899784,9.610516499999793,Unknown,UNK,0,Junction
86,Junction,55.861087998035586,11.592149499999778,Unknown,UNK,0,Junction
87,Junction,56.00416599805531,10.18386949999978,Unknown,UNK,0,Junction
88,Junction,54.79612349787847,11.656438999999782,Unknown,UNK,0,Junction
89,Hurup Thy,56.75207499815312,8.418466499999798,Denmark,DK,2,Station
90,Struer,56.49139399811995,8.601410999999784,Denmark,DK,3,Station
91,Junction,55.7780379980241,12.384214499999784,Unknown,UNK,0,Junction
92,Sakskøbing,54.796531497878505,11.635344499999782,Denmark,DK,2,Station
