nodeID_from,nodeID_to
1,8
2,28
3,37
4,59
5,51
6,31
7,201
8,19
9,202
10,2
11,13
12,11
13,201
14,110
15,14
16,3
17,22
18,20
19,18
20,16
21,17
22,1
23,35
24,25
25,203
26,6
27,57
28,30
29,33
30,34
24,32
31,9
32,29
33,26
34,202
35,36
36,12
37,41
38,44
39,40
40,38
41,42
42,4
43,21
44,43
12,39
45,5
46,47
47,48
48,10
13,45
49,50
50,52
51,49
52,46
53,58
54,204
55,53
56,60
57,56
58,54
59,204
55,27
60,61
61,205
62,206
63,62
64,165
65,23
66,207
67,207
68,118
69,200
70,74
71,191
72,158
73,127
74,208
75,79
76,172
77,139
78,75
79,115
80,92
81,177
82,120
83,128
84,85
85,196
86,87
87,102
88,89
89,77
90,91
91,126
92,93
93,63
94,92
95,124
96,83
97,123
98,176
99,209
100,171
101,67
102,184
103,174
104,185
105,159
106,149
107,114
108,153
109,96
110,144
68,155
111,188
112,133
113,66
114,104
115,76
116,198
117,15
118,132
119,210
120,131
121,125
122,157
123,121
124,187
125,70
126,209
127,100
128,90
129,160
130,109
131,137
132,108
133,113
134,199
135,170
136,156
137,84
138,142
139,161
140,94
141,195
142,81
143,186
64,103
144,180
145,190
146,65
147,80
148,106
149,173
150,145
151,192
152,119
153,148
154,210
99,135
155,147
156,129
157,175
158,122
159,183
160,107
161,181
162,141
163,101
115,71
164,73
165,162
166,69
167,168
168,136
169,167
170,169
171,130
172,164
173,78
174,179
175,143
176,88
177,150
178,189
163,166
179,95
180,146
181,72
182,86
183,182
184,154
185,194
186,97
187,152
188,151
189,134
190,111
119,193
191,98
192,178
193,210
194,193
195,117
196,116
197,138
198,197
199,112
200,105
