nodeID_from,nodeID_to
1,404
2,405
3,17
4,50
5,26
6,54
7,406
8,406
9,347
2,126
10,281
11,13
12,10
13,12
14,9
15,53
16,188
17,15
16,407
18,407
19,52
20,280
21,20
22,404
23,212
23,408
24,300
25,185
24,46
26,25
5,49
27,1
28,409
28,410
29,30
30,2
31,38
32,37
33,31
34,36
35,34
23,35
36,33
37,411
38,32
39,48
40,42
41,406
42,41
43,39
44,45
45,43
46,412
47,55
48,40
49,51
50,47
51,22
52,9
53,19
54,163
55,413
27,414
56,25
57,68
58,122
59,211
60,415
61,218
62,337
63,98
64,416
65,417
66,418
67,152
68,105
69,391
70,419
71,420
72,71
73,420
74,66
75,421
76,95
77,269
78,422
79,4
80,107
81,115
82,416
83,156
84,421
85,141
64,100
86,67
87,83
72,102
88,423
89,93
90,424
91,424
92,148
93,137
94,159
89,151
4,255
96,98
59,425
97,403
98,257
99,113
99,402
100,112
101,121
102,145
103,90
104,128
105,329
106,426
107,85
108,142
109,427
110,120
91,73
111,133
112,84
113,428
114,429
115,87
116,110
117,317
118,74
119,109
120,430
121,118
122,69
123,302
124,431
28,410
125,432
126,433
127,171
75,417
70,123
128,104
129,128
130,239
131,160
132,161
133,61
134,155
135,418
136,92
137,117
80,139
115,119
114,64
138,429
139,143
140,138
141,144
142,428
143,108
144,140
145,146
116,81
83,101
146,427
58,419
147,129
148,422
149,154
150,149
151,150
152,153
153,78
153,78
154,136
155,132
156,101
157,410
158,157
159,158
160,60
94,415
161,82
162,173
163,254
164,434
165,232
166,302
167,435
168,202
169,400
170,436
147,437
164,438
171,439
172,440
173,235
174,162
175,177
62,338
176,235
177,196
178,227
179,175
180,441
181,223
182,174
183,184
184,179
185,324
186,272
187,224
188,257
189,372
190,189
191,61
192,193
193,326
194,192
195,323
196,182
197,198
198,277
173,278
63,188
199,275
200,276
201,284
202,336
203,356
190,343
204,209
205,393
206,287
207,204
208,288
209,208
210,304
211,425
212,363
213,442
76,178
214,384
215,405
216,65
217,443
218,399
134,222
219,210
220,364
221,444
180,328
222,371
57,164
223,445
224,299
79,360
225,446
226,219
147,434
227,447
228,7
229,203
230,321
77,269
231,253
127,388
232,124
233,440
234,442
135,172
235,173
236,448
79,255
97,334
237,449
238,367
239,291
240,241
241,360
242,425
214,243
243,253
244,240
245,247
246,304
88,380
247,359
248,450
125,244
249,432
250,451
193,373
251,258
252,267
253,77
254,200
255,448
256,452
257,21
258,96
259,265
260,168
96,63
261,251
262,266
263,262
264,252
265,263
266,264
267,261
268,453
205,453
269,249
270,331
271,273
272,271
273,374
274,333
275,11
276,201
277,312
278,197
279,325
280,327
281,454
282,259
283,285
284,252
285,282
286,268
287,455
288,456
207,14
289,246
290,350
291,248
135,457
292,444
293,354
293,217
294,458
103,381
295,447
296,57
297,296
130,203
181,369
298,450
299,382
300,295
301,229
300,459
302,460
303,461
195,462
304,463
305,313
306,256
307,364
308,103
170,464
309,437
310,56
311,465
312,338
313,402
314,306
67,466
315,379
316,320
309,180
316,392
317,245
165,391
318,449
319,349
320,383
321,461
322,316
233,322
213,172
323,131
324,191
325,176
326,357
327,340
328,458
329,459
330,464
206,346
331,465
332,433
333,395
334,398
335,397
225,341
336,283
337,11
338,337
339,187
340,279
183,6
341,342
342,260
343,446
344,215
345,455
346,456
347,189
348,286
345,467
349,463
350,226
351,290
86,457
330,307
352,468
353,423
354,468
355,443
308,436
356,296
329,297
239,130
8,301
357,228
231,387
358,230
359,303
360,462
111,61
361,111
361,186
292,355
362,469
363,351
364,394
220,466
365,366
366,430
367,445
368,353
369,298
370,367
371,469
372,454
373,372
374,270
375,344
376,169
305,376
377,378
110,370
167,377
378,315
379,365
65,460
368,166
380,238
381,294
221,362
382,228
383,358
384,390
385,426
386,319
387,386
127,389
388,318
171,389
389,401
390,237
386,242
391,106
392,431
289,385
234,435
393,375
216,352
394,314
395,396
396,273
397,332
398,335
399,134
218,191
400,310
401,317
194,311
402,408
403,274
339,199
348,467
