nodeID_from,nodeID_to
3,53
6,54
6,183
7,357
7,8
7,224
7,44
8,301
8,7
8,44
10,12
10,281
12,10
12,13
13,12
13,199
13,312
16,18
16,21
16,258
18,16
19,52
19,53
20,21
20,280
21,20
21,16
21,258
22,51
22,27
24,412
24,459
26,49
26,324
26,305
27,414
27,22
29,30
30,29
30,405
30,334
38,411
38,212
38,408
44,7
44,8
47,50
47,413
49,51
49,26
50,47
50,448
50,462
50,240
51,22
51,49
52,19
52,347
52,205
53,19
53,3
54,6
54,163
66,418
66,121
72,91
72,370
72,121
72,366
80,107
80,143
89,401
89,247
89,422
91,72
91,170
91,458
106,165
106,289
106,460
106,380
107,80
107,141
112,421
112,114
112,416
114,416
114,112
114,141
121,66
121,370
121,366
121,72
124,232
124,233
124,321
141,107
141,114
142,143
142,408
142,305
143,142
143,80
152,457
152,220
152,422
155,222
155,399
155,416
163,54
163,200
165,232
165,106
165,460
165,380
168,202
168,260
170,307
170,91
170,458
174,196
174,278
174,176
176,325
176,278
176,174
177,196
177,179
179,184
179,177
183,6
183,184
184,179
184,183
186,272
186,324
186,399
190,347
190,373
190,454
190,341
192,194
192,326
192,373
194,192
194,465
195,323
195,462
196,177
196,174
197,198
197,278
198,197
198,277
199,13
199,224
199,312
200,163
200,201
201,284
201,200
202,168
202,336
205,405
205,52
205,347
210,219
210,463
210,289
212,363
212,408
212,38
213,442
213,440
213,418
213,457
214,384
214,231
214,249
219,210
219,226
220,307
220,152
220,457
220,256
222,155
222,399
222,460
222,421
223,445
223,229
223,356
224,199
224,7
224,357
226,219
226,351
229,301
229,356
229,223
231,214
231,249
231,349
232,124
232,165
233,440
233,124
233,321
240,462
240,249
240,50
240,448
247,401
247,321
247,89
249,231
249,240
249,214
256,220
256,307
258,267
258,16
258,21
259,265
259,282
260,168
260,342
262,263
262,266
263,262
263,265
264,266
264,267
264,284
265,259
265,263
266,262
266,264
267,264
267,284
267,258
270,374
270,465
271,272
271,374
271,403
272,186
272,271
277,198
277,312
278,197
278,174
278,176
279,325
279,340
280,20
280,327
281,10
281,454
282,259
282,285
283,285
283,336
284,201
284,264
284,267
285,282
285,283
289,210
289,463
289,106
301,8
301,229
305,408
305,142
305,26
305,324
307,220
307,170
307,256
309,437
309,328
312,277
312,13
312,199
321,247
321,233
321,124
323,195
323,409
324,26
324,399
324,186
324,305
325,176
325,279
326,357
326,192
326,373
327,280
327,340
328,458
328,309
334,403
334,30
334,405
336,202
336,283
340,279
340,327
341,342
341,190
342,260
342,341
347,52
347,190
347,373
347,454
347,205
349,463
349,231
351,363
351,226
356,229
356,434
356,459
356,223
357,326
357,7
357,224
363,212
363,351
366,370
366,442
366,121
366,72
370,445
370,380
370,366
370,121
370,72
373,192
373,326
373,454
373,190
373,347
374,270
374,271
374,403
380,370
380,445
380,460
380,106
380,165
384,214
384,449
388,449
388,439
388,401
399,155
399,222
399,324
399,186
401,247
401,388
401,439
401,89
403,334
403,271
403,374
405,30
405,205
405,334
408,212
408,305
408,142
408,38
409,323
411,38
412,24
413,47
414,27
416,114
416,112
416,155
418,66
418,457
418,213
418,440
421,112
421,460
421,222
422,152
422,89
434,437
434,356
434,459
437,309
437,434
439,388
439,401
440,233
440,213
440,418
440,457
442,213
442,366
445,223
445,370
445,380
448,50
448,462
448,240
449,388
449,384
454,281
454,373
454,190
454,347
457,418
457,152
457,213
457,440
457,220
458,328
458,91
458,170
459,24
459,356
459,434
460,421
460,380
460,106
460,165
460,222
462,195
462,240
462,50
462,448
463,349
463,210
463,289
465,194
465,270
