nodeID_from,nodeID_to
1,3237
2,1
3,184
4,5
5,3238
6,514
7,3239
8,332
9,3240
10,3241
11,35
12,98
13,3242
14,35
15,3243
16,15
17,68
18,68
19,2600
19,2792
20,3244
21,6
22,3245
22,7
23,3246
24,1988
25,48
26,180
26,3247
25,181
27,2813
28,3248
29,178
30,178
31,3240
32,3249
33,3239
34,179
35,3250
36,3251
37,3252
38,37
39,23
40,41
41,2578
42,3239
43,3253
44,3253
45,498
46,45
47,2461
47,2628
48,3254
49,1405
50,3255
51,3256
52,3257
53,3255
54,3258
55,110
56,64
57,432
58,3259
59,3260
60,3260
61,3251
62,3261
63,174
64,3262
65,182
66,3263
66,1129
67,215
68,3264
69,63
70,3240
71,74
71,3265
72,3266
73,1397
72,73
74,15
75,3267
76,3267
77,3268
77,3258
78,168
79,3269
80,82
81,3241
82,81
79,3270
80,3270
83,84
84,3271
85,3271
86,83
87,83
88,19
23,3272
89,167
90,3248
91,165
92,3273
93,3257
94,176
95,3274
95,183
96,3237
97,171
98,8
99,12
100,3275
101,3275
102,853
103,3259
59,103
104,53
102,757
105,3276
106,421
107,3237
108,3256
109,54
110,1655
111,137
112,411
113,136
114,3277
115,161
108,117
116,3278
117,3279
118,37
119,47
120,11
121,157
122,3280
123,3281
124,3282
125,51
126,139
127,126
128,108
122,133
129,141
130,3283
131,76
132,693
133,3282
134,3284
135,3280
136,135
137,45
138,127
139,142
140,3285
141,110
142,149
143,3285
144,3286
144,129
145,146
146,3276
147,124
111,134
148,145
102,3287
140,163
149,3288
132,123
150,3275
151,916
138,3281
152,3289
153,175
154,175
155,3290
119,155
156,3291
157,156
121,158
158,159
159,99
10,3291
160,3292
120,3293
161,152
162,3294
163,3289
164,3295
54,2467
165,3296
166,105
89,3297
167,185
168,5
169,3298
93,3299
170,94
171,3295
97,3296
172,3257
173,3247
174,101
175,721
176,3243
36,3245
177,176
58,56
62,3300
178,3301
179,1109
180,3302
181,173
182,66
183,3295
59,104
184,3242
185,3303
186,3303
187,85
188,3304
186,92
189,188
190,1386
191,248
192,2437
193,256
194,3305
195,9
196,2879
197,1459
198,220
199,2956
200,1260
201,672
202,2767
203,417
204,2750
205,1326
206,3306
207,3307
208,3308
209,632
210,3309
211,231
212,303
213,3310
214,3311
215,2686
216,226
216,3312
217,2186
218,3313
219,3314
220,3315
221,355
222,439
223,2015
224,3316
225,1932
226,3317
227,3318
228,3161
229,3319
230,3320
231,3093
211,1412
232,386
233,2039
220,1757
234,3321
235,3311
236,3322
237,3323
238,828
239,238
240,1701
241,240
242,3322
243,1796
244,3324
245,3325
246,1219
247,1532
248,247
249,3326
250,3326
251,3327
249,251
252,1450
253,1310
254,233
255,1035
215,1996
86,1951
256,257
257,2057
258,1013
259,1793
260,710
261,2913
262,3049
211,1412
4,1725
20,263
263,1725
264,832
265,264
265,3328
218,3313
266,1830
267,1417
268,1417
269,1369
270,3329
270,3330
