nodeID_from,nodeID_to
4,31
4,91
7,286
7,303
8,67
8,66
10,317
10,160
10,75
10,51
10,94
12,247
28,176
30,169
30,176
31,41
31,4
38,169
38,41
38,318
41,31
41,318
41,38
51,94
51,153
51,320
51,319
51,317
51,160
51,10
58,158
58,67
58,274
58,113
58,322
66,8
67,8
67,274
67,58
67,113
67,322
70,316
70,89
70,74
74,176
74,70
75,10
89,70
89,213
91,4
94,312
94,51
94,317
94,160
94,10
109,247
109,204
110,314
113,311
113,322
113,67
113,274
113,58
153,169
153,51
153,319
153,320
158,58
160,317
160,286
160,10
160,51
160,94
169,153
169,30
169,38
176,30
176,74
176,28
204,109
204,213
213,89
213,321
213,204
247,12
247,109
274,303
274,67
274,58
274,113
274,322
286,7
286,160
303,7
303,274
311,113
312,94
314,110
316,70
317,160
317,10
317,51
317,94
318,41
318,38
319,153
319,51
319,320
320,153
320,51
320,319
321,213
322,113
322,67
322,274
322,58
