nodeID_from,nodeID_to
7,1016
7,58
7,236
7,652
8,620
8,1369
8,1311
8,704
8,258
8,736
8,1376
8,1370
8,1048
8,864
8,86
10,1299
10,1174
10,955
10,547
10,1163
10,564
10,1258
10,912
10,1409
10,35
10,164
10,782
10,142
10,263
10,988
10,1142
10,1200
10,1279
10,1257
10,175
10,1353
10,1416
10,147
10,706
10,1410
10,1139
10,21
10,1373
10,1367
10,188
10,532
10,476
10,969
10,1189
10,320
15,1063
15,985
15,34
15,1253
15,991
21,1139
21,1373
21,1367
21,1142
21,188
21,175
21,532
21,735
21,476
21,1416
21,969
21,1189
21,1258
21,988
21,320
21,1279
21,706
21,263
21,912
21,1410
21,147
21,1409
21,1353
21,1200
21,1257
21,35
21,10
21,955
21,1299
21,1174
21,547
21,1163
21,564
21,142
21,164
21,782
24,1073
24,1308
24,454
24,37
24,44
24,873
24,999
24,770
24,1286
24,1049
24,954
24,177
24,1374
24,198
34,985
34,15
34,1253
34,991
35,42
35,1258
35,955
35,912
35,1409
35,10
35,142
35,263
35,1299
35,1174
35,547
35,1163
35,564
35,988
35,164
35,782
35,1142
35,1200
35,1279
35,1257
35,175
35,1353
35,1416
35,147
35,706
35,1410
35,1139
35,21
35,1373
35,1367
35,188
35,532
35,476
35,969
35,1189
35,320
37,1308
37,512
37,1286
37,1049
37,454
37,24
37,770
37,1073
37,1401
37,993
37,44
37,873
37,999
37,1374
37,1059
37,954
37,177
37,198
37,288
37,289
37,1372
40,620
40,1018
40,1311
40,1169
40,1049
42,35
44,1073
44,873
44,999
44,152
44,954
44,177
44,876
44,477
44,1075
44,24
44,1308
44,454
44,342
44,37
44,770
44,1286
44,1049
44,1374
44,198
58,7
58,1016
70,642
70,1356
84,1400
84,1377
84,1416
84,1024
84,1139
84,320
84,1368
84,985
84,202
84,1063
84,1126
84,1088
84,1038
84,1253
84,1043
84,1325
86,736
86,1048
86,514
86,864
86,177
86,236
86,937
86,1370
86,258
86,704
86,8
86,1369
86,1311
86,1376
86,620
135,1333
135,886
135,834
135,1102
135,993
135,291
135,1059
142,652
142,1258
142,955
142,35
142,10
142,1299
142,1174
142,912
142,1409
142,547
142,1163
142,564
142,263
142,164
142,782
142,988
142,1142
142,1200
142,1279
142,1257
142,175
142,1353
142,1416
142,147
142,706
142,1410
142,1139
142,21
142,1373
142,1367
142,188
142,532
142,476
142,969
142,1189
142,320
147,988
147,1279
147,1371
147,1257
147,1356
147,1080
147,1043
147,263
147,912
147,1142
147,1416
147,1088
147,1410
147,1038
147,1409
147,175
147,1353
147,706
147,1200
147,35
147,1258
147,10
147,955
147,1139
147,1299
147,1174
147,547
147,1163
147,564
147,21
147,142
147,164
147,782
147,1373
147,1367
147,188
147,532
147,476
147,969
147,1189
147,320
152,1178
152,1073
152,564
152,44
152,876
152,477
152,1075
152,342
164,492
164,782
164,547
164,1163
164,10
164,564
164,1299
164,1174
164,955
164,1258
164,35
164,912
164,1409
164,142
164,263
164,988
164,1142
164,1200
164,1279
164,1257
164,175
164,1353
164,1416
164,147
164,706
164,1410
164,1139
164,21
164,1373
164,1367
164,188
164,532
164,476
164,969
164,1189
164,320
175,735
175,1142
175,1353
175,988
175,1258
175,263
175,912
175,188
175,21
175,1279
175,1409
175,1416
175,1200
175,147
175,1257
175,35
175,706
175,10
175,1410
175,955
175,1299
175,1174
175,547
175,1163
175,564
175,142
175,1139
175,164
175,782
175,1373
175,1367
175,532
175,476
175,969
175,1189
175,320
177,873
177,999
177,236
177,937
177,44
177,514
177,1048
177,736
177,954
177,86
177,1073
177,24
177,1308
177,454
177,37
177,770
177,1286
177,1049
177,1374
177,198
188,1373
188,476
188,1142
188,21
188,175
188,1139
188,735
188,1189
188,1367
188,532
188,1258
188,969
188,1416
188,320
188,988
188,1279
188,706
188,263
188,912
188,1410
188,147
188,1409
188,1353
188,1200
188,1257
188,35
188,10
188,955
