nodeID_from,nodeID_to
1,190
1,179
2,37
2,41
4,174
4,61
4,155
4,180
27,199
30,192
30,191
34,205
34,41
34,178
37,2
37,53
37,137
41,2
41,34
41,178
47,48
47,49
48,47
48,56
49,323
49,47
53,137
53,68
53,37
56,48
56,79
56,324
59,323
61,132
61,174
61,4
67,68
68,67
68,53
73,79
73,77
77,179
77,73
77,153
77,182
79,73
79,56
79,324
87,222
87,93
90,92
90,222
92,90
92,225
92,184
93,257
93,87
94,98
98,100
98,94
100,115
100,98
104,206
104,118
108,118
108,120
115,198
115,100
118,104
118,108
120,108
120,145
120,142
120,196
129,132
129,325
132,150
132,61
132,129
136,137
137,136
137,53
137,37
142,196
142,145
142,120
145,257
145,142
145,196
145,120
148,259
148,326
148,160
150,259
150,132
152,155
152,153
153,152
153,77
153,179
153,182
155,152
155,180
155,4
160,326
160,328
160,148
160,189
162,163
162,196
163,162
163,202
170,202
170,221
174,61
174,4
174,177
177,178
177,174
178,177
178,34
178,41
179,77
179,153
179,1
179,182
180,192
180,155
180,4
182,191
182,77
182,179
182,153
184,187
184,225
184,92
187,188
187,184
188,187
188,203
189,328
189,190
189,160
190,1
190,189
191,182
191,30
192,180
192,30
196,162
196,142
196,145
196,120
198,115
198,206
199,205
199,27
202,163
202,170
203,188
203,328
205,34
205,199
206,198
206,104
221,170
222,87
222,90
225,184
225,92
257,93
257,145
259,150
259,148
323,49
323,59
324,79
324,56
325,129
326,160
326,148
328,203
328,189
328,160
